T=2.50000e+00  B=0.00000e+00  ns=40000  E_exact=-1.10608e+00  M_exact=0.00000e+00
     E           M        
--------------------------
-1.15500e+00  4.11500e-02
-1.13230e+00  7.38500e-02
-1.14240e+00  4.22000e-02
-1.14300e+00  8.08500e-02
-1.13190e+00  1.10000e-01
-1.15030e+00  1.43200e-01
-1.14830e+00  1.19050e-01
-1.13960e+00  8.80500e-02
-1.14520e+00  3.35000e-02
-1.11170e+00  4.33000e-02
-1.13620e+00  1.88000e-02
-1.13810e+00  2.84500e-02
-1.12910e+00  5.55000e-02
-1.14710e+00  4.83500e-02
-1.13810e+00  1.31900e-01
-1.12880e+00  1.07000e-01
-1.12900e+00  7.17500e-02
-1.13990e+00  4.87000e-02
-1.14850e+00  6.91000e-02
-1.13900e+00  7.19500e-02
-1.17150e+00  1.04750e-01
-1.13370e+00  1.26250e-01
-1.15460e+00  1.15450e-01
-1.15940e+00  9.78500e-02
-1.13010e+00  1.65500e-01
-1.14110e+00  1.63550e-01
-1.14250e+00  1.45750e-01
-1.14680e+00  1.39550e-01
-1.14370e+00  9.36000e-02
-1.14870e+00  4.37500e-02
-1.15300e+00  3.48000e-02
-1.14300e+00  4.54000e-02
-1.14630e+00  6.91000e-02
-1.11510e+00  6.55000e-03
-1.11620e+00  5.05000e-02
-1.14770e+00  6.67000e-02
-1.15040e+00  4.66000e-02
-1.15740e+00  1.23400e-01
-1.13100e+00  9.62000e-02
-1.13410e+00  7.00000e-02
-1.14640e+00  9.38500e-02
-1.13910e+00  7.71500e-02
-1.14360e+00  8.01500e-02
-1.15180e+00  9.37000e-02
-1.13300e+00  1.00550e-01
-1.11690e+00  7.98500e-02
-1.12780e+00  7.40500e-02
-1.12020e+00  9.60000e-02
-1.14690e+00  1.17450e-01
-1.13820e+00  9.01000e-02
-1.12600e+00  7.86500e-02
-1.11540e+00  7.00000e-03
-1.12280e+00  5.89500e-02
-1.12390e+00  9.28500e-02
-1.13770e+00  9.92500e-02
-1.12310e+00  1.27300e-01
-1.15190e+00  1.32350e-01
-1.14880e+00  9.32500e-02
-1.13840e+00  5.35000e-02
-1.11770e+00  8.98500e-02
-1.17310e+00  1.02900e-01
-1.12650e+00  7.07000e-02
-1.15510e+00  1.00650e-01
-1.12640e+00  1.01550e-01
-1.14590e+00  1.57500e-01
-1.12100e+00  1.06150e-01
-1.14410e+00  1.29050e-01
-1.13920e+00  1.02400e-01
-1.15180e+00  6.53000e-02
-1.13070e+00  3.19500e-02
-1.13780e+00  7.31500e-02
-1.13810e+00  3.65000e-02
-1.11020e+00  7.30000e-02
-1.12420e+00  8.98000e-02
-1.13180e+00  1.20500e-01
-1.14360e+00  1.42750e-01
-1.14400e+00  9.86500e-02
-1.15540e+00  6.84000e-02
-1.13040e+00  1.04150e-01
-1.13840e+00  1.02450e-01
-1.13380e+00  1.10450e-01
-1.13980e+00  9.61500e-02
-1.15120e+00  9.50500e-02
-1.13610e+00  9.71500e-02
-1.13290e+00  3.07500e-02
-1.12380e+00  5.30500e-02
-1.12030e+00  6.02000e-02
-1.15130e+00  6.47500e-02
-1.12520e+00  5.15500e-02
-1.16100e+00  7.93500e-02
-1.15380e+00  4.30000e-02
-1.12750e+00  5.35500e-02
-1.13910e+00  8.99500e-02
-1.14740e+00  8.58000e-02
-1.14130e+00  7.04500e-02
-1.14070e+00  1.28800e-01
-1.12830e+00  1.38600e-01
-1.14020e+00  9.67000e-02
-1.14030e+00  1.02600e-01
-1.12200e+00  5.69500e-02
-1.14360e+00  4.13500e-02
-1.14200e+00  4.93000e-02
-1.14010e+00  7.64000e-02
-1.15280e+00  1.05050e-01
-1.15250e+00  7.30500e-02
-1.15100e+00  1.01750e-01
-1.13360e+00  5.21000e-02
-1.14600e+00  4.47500e-02
-1.13250e+00  1.24100e-01
-1.15990e+00  1.24200e-01
-1.12660e+00  1.20850e-01
-1.12530e+00  3.22000e-02
-1.13610e+00  3.35000e-02
-1.14310e+00  7.91000e-02
-1.12400e+00  6.76000e-02
-1.14550e+00  8.14000e-02
-1.13560e+00  1.03750e-01
-1.14890e+00  6.97500e-02
-1.12940e+00  5.12500e-02
-1.13460e+00  -6.50000e-04
-1.14280e+00  3.46500e-02
-1.13100e+00  3.48500e-02
-1.14140e+00  7.35000e-02
-1.12660e+00  8.93500e-02
-1.13700e+00  5.19000e-02
-1.14190e+00  5.16500e-02
-1.14860e+00  5.74500e-02
-1.13600e+00  7.67500e-02
-1.12710e+00  4.09500e-02
-1.12630e+00  9.13000e-02
-1.13160e+00  7.59500e-02
-1.14050e+00  1.06700e-01
-1.16670e+00  8.50000e-02
-1.14710e+00  9.73500e-02
-1.13500e+00  6.67500e-02
-1.12740e+00  9.38500e-02
-1.12570e+00  8.58000e-02
-1.14320e+00  9.99500e-02
-1.14580e+00  4.99000e-02
-1.12880e+00  9.08500e-02
-1.14050e+00  1.17450e-01
-1.12950e+00  1.35250e-01
-1.14340e+00  1.42050e-01
-1.14600e+00  1.55900e-01
-1.14200e+00  1.36050e-01
-1.12770e+00  1.12850e-01
-1.13570e+00  1.59800e-01
-1.13150e+00  1.77400e-01
-1.14670e+00  1.50550e-01
-1.14420e+00  1.39500e-01
-1.12760e+00  9.85000e-02
-1.12660e+00  9.47500e-02
-1.15020e+00  8.54000e-02
-1.13660e+00  1.37650e-01
-1.14960e+00  1.77200e-01
-1.15100e+00  1.23100e-01
-1.12680e+00  1.39600e-01
-1.14310e+00  1.11650e-01
-1.12740e+00  1.36750e-01
-1.14170e+00  1.59150e-01
-1.16360e+00  1.29700e-01
-1.13500e+00  1.16300e-01
-1.14030e+00  9.81000e-02
-1.12770e+00  1.27600e-01
-1.13610e+00  1.19700e-01
-1.12980e+00  1.16900e-01
-1.14000e+00  8.66500e-02
-1.13460e+00  8.45000e-02
-1.13910e+00  7.50000e-02
-1.12570e+00  5.35500e-02
-1.14250e+00  6.98500e-02
-1.12220e+00  7.28000e-02
-1.13720e+00  3.32500e-02
-1.13430e+00  4.18500e-02
-1.12530e+00  4.75000e-02
-1.13530e+00  6.08000e-02
-1.13430e+00  7.36000e-02
-1.12790e+00  1.21400e-01
-1.14910e+00  1.05800e-01
-1.13450e+00  1.27500e-01
-1.12060e+00  1.06050e-01
-1.12840e+00  1.13300e-01
-1.15800e+00  1.17400e-01
-1.13390e+00  9.03000e-02
-1.11970e+00  8.53000e-02
-1.14280e+00  1.27250e-01
-1.13470e+00  7.39000e-02
-1.13420e+00  7.84500e-02
-1.11530e+00  6.53000e-02
-1.12830e+00  9.96000e-02
-1.12340e+00  7.28000e-02
-1.14720e+00  1.35600e-01
-1.15470e+00  1.88000e-01
-1.11770e+00  1.76400e-01
-1.13450e+00  1.53900e-01
-1.13200e+00  1.74150e-01
-1.14440e+00  1.57700e-01
-1.12340e+00  1.42550e-01
-1.13590e+00  1.09100e-01
-1.12800e+00  1.54650e-01
-1.13820e+00  1.60100e-01
-1.15070e+00  1.52750e-01
-1.14460e+00  1.97750e-01
-1.13480e+00  1.72900e-01
-1.15010e+00  1.72450e-01
-1.14030e+00  1.47850e-01
-1.13680e+00  1.34200e-01
-1.13370e+00  9.86500e-02
-1.14730e+00  1.29150e-01
-1.13300e+00  9.65500e-02
-1.13670e+00  1.10150e-01
-1.15490e+00  9.53000e-02
-1.12990e+00  6.87000e-02
-1.12970e+00  6.36000e-02
-1.12600e+00  9.53500e-02
-1.12990e+00  1.24950e-01
-1.13610e+00  1.40450e-01
-1.14600e+00  1.33350e-01
-1.13860e+00  8.31500e-02
-1.12430e+00  1.05650e-01
-1.13850e+00  1.34750e-01
