T=2.20000e+00  B=0.00000e+00  ns=40000  E_exact=-1.54649e+00  M_exact=7.84755e-01
     E           M        
-1.54690e+00  7.88550e-01
-1.55100e+00  7.90450e-01
-1.56290e+00  7.90850e-01
-1.56450e+00  7.91100e-01
-1.53560e+00  7.69050e-01
-1.54610e+00  7.64650e-01
-1.53410e+00  7.69600e-01
-1.56320e+00  7.77450e-01
-1.55290e+00  7.65000e-01
-1.52200e+00  7.48800e-01
-1.53880e+00  7.54500e-01
-1.52440e+00  7.47450e-01
-1.56680e+00  7.75100e-01
-1.55010e+00  7.74950e-01
-1.55520e+00  7.75350e-01
-1.53370e+00  7.62500e-01
-1.55500e+00  7.82500e-01
-1.54540e+00  7.75700e-01
-1.54670e+00  7.70250e-01
-1.54390e+00  7.70200e-01
-1.55900e+00  7.90850e-01
-1.56180e+00  7.84850e-01
-1.55230e+00  7.75500e-01
-1.54950e+00  7.78050e-01
-1.54970e+00  7.88200e-01
-1.57350e+00  7.91100e-01
-1.55530e+00  7.71150e-01
-1.53960e+00  7.52150e-01
-1.55400e+00  7.57900e-01
-1.54950e+00  7.56800e-01
-1.55030e+00  7.69250e-01
-1.55680e+00  7.78500e-01
-1.56390e+00  7.78850e-01
-1.54150e+00  7.69500e-01
-1.56840e+00  7.84500e-01
-1.55080e+00  7.74450e-01
-1.53400e+00  7.55850e-01
-1.53810e+00  7.54500e-01
-1.55930e+00  7.62200e-01
-1.55670e+00  7.64450e-01
-1.53630e+00  7.46800e-01
-1.54380e+00  7.56350e-01
-1.55140e+00  7.60550e-01
-1.54050e+00  7.47100e-01
-1.53650e+00  7.28100e-01
-1.53270e+00  7.38950e-01
-1.56140e+00  7.66650e-01
-1.55730e+00  7.77200e-01
-1.55950e+00  7.72600e-01
-1.53840e+00  7.52550e-01
-1.55270e+00  7.50800e-01
-1.55280e+00  7.50550e-01
-1.54700e+00  7.41650e-01
-1.55770e+00  7.56900e-01
-1.56050e+00  7.66250e-01
-1.54340e+00  7.45400e-01
-1.53710e+00  7.47450e-01
-1.55560e+00  7.59700e-01
-1.53970e+00  7.46000e-01
-1.56890e+00  7.64400e-01
-1.54340e+00  7.58200e-01
-1.54420e+00  7.55400e-01
-1.56060e+00  7.74600e-01
-1.57090e+00  7.75200e-01
-1.55560e+00  7.70300e-01
-1.54770e+00  7.66250e-01
-1.58720e+00  7.97100e-01
-1.54330e+00  7.72950e-01
-1.55100e+00  7.81950e-01
-1.53160e+00  7.44150e-01
-1.54280e+00  7.55950e-01
-1.54410e+00  7.55300e-01
-1.54260e+00  7.62000e-01
-1.55670e+00  7.79100e-01
-1.57580e+00  7.90050e-01
-1.55230e+00  7.64200e-01
-1.52060e+00  7.47750e-01
-1.53630e+00  7.57100e-01
-1.53870e+00  7.69400e-01
-1.54600e+00  7.65200e-01
-1.56550e+00  7.69200e-01
-1.53370e+00  7.25050e-01
-1.54360e+00  7.45250e-01
-1.54040e+00  7.34950e-01
-1.52740e+00  7.41900e-01
-1.55210e+00  7.37500e-01
-1.54720e+00  7.33550e-01
-1.55610e+00  7.53250e-01
-1.54230e+00  7.27900e-01
-1.56580e+00  7.41150e-01
-1.53170e+00  7.18350e-01
-1.54330e+00  7.43800e-01
-1.55590e+00  7.70100e-01
