T=2.10000e+00  B=0.00000e+00  ns=40000  E_exact=-1.66208e+00  M_exact=8.68748e-01
     E           M        
--------------------------
-1.66510e+00  8.69700e-01
-1.65360e+00  8.57250e-01
-1.66890e+00  8.74050e-01
-1.66070e+00  8.70900e-01
-1.66170e+00  8.61700e-01
-1.62790e+00  8.32850e-01
-1.66750e+00  8.68000e-01
-1.67180e+00  8.71650e-01
-1.66420e+00  8.63150e-01
-1.66810e+00  8.64200e-01
-1.68150e+00  8.74550e-01
-1.65450e+00  8.60650e-01
-1.67310e+00  8.72300e-01
-1.66610e+00  8.72450e-01
-1.67060e+00  8.72450e-01
-1.67800e+00  8.73950e-01
-1.66100e+00  8.54850e-01
-1.66730e+00  8.73200e-01
-1.67740e+00  8.69100e-01
-1.64370e+00  8.52750e-01
-1.67210e+00  8.67350e-01
-1.66610e+00  8.67900e-01
-1.67420e+00  8.72850e-01
-1.66670e+00  8.70850e-01
-1.66800e+00  8.70700e-01
-1.67390e+00  8.71850e-01
-1.67140e+00  8.72100e-01
-1.66750e+00  8.73650e-01
-1.66000e+00  8.65950e-01
-1.67250e+00  8.73250e-01
-1.67730e+00  8.72050e-01
-1.66290e+00  8.69350e-01
-1.66200e+00  8.62450e-01
-1.66050e+00  8.62100e-01
-1.66270e+00  8.68000e-01
-1.66240e+00  8.62400e-01
-1.67200e+00  8.64450e-01
-1.66020e+00  8.57850e-01
-1.65720e+00  8.65600e-01
-1.67640e+00  8.72950e-01
-1.67680e+00  8.69000e-01
-1.66980e+00  8.69550e-01
-1.67990e+00  8.66150e-01
-1.66180e+00  8.64800e-01
-1.65460e+00  8.65600e-01
-1.66000e+00  8.66200e-01
-1.66750e+00  8.69450e-01
-1.65310e+00  8.59600e-01
-1.66060e+00  8.62550e-01
-1.65370e+00  8.56100e-01
-1.65530e+00  8.61950e-01
-1.65870e+00  8.58300e-01
-1.66940e+00  8.68000e-01
-1.67450e+00  8.71050e-01
-1.68290e+00  8.76550e-01
-1.65950e+00  8.65200e-01
-1.67000e+00  8.72300e-01
-1.65980e+00  8.62850e-01
-1.64610e+00  8.58600e-01
-1.66670e+00  8.72750e-01
-1.68240e+00  8.76100e-01
-1.66080e+00  8.67650e-01
-1.67140e+00  8.73250e-01
-1.65950e+00  8.67000e-01
-1.68300e+00  8.73650e-01
-1.65620e+00  8.56500e-01
-1.66370e+00  8.67650e-01
-1.67310e+00  8.58150e-01
-1.64630e+00  8.53050e-01
-1.66770e+00  8.61400e-01
-1.65990e+00  8.60600e-01
-1.66990e+00  8.63650e-01
-1.63300e+00  8.39650e-01
-1.64560e+00  8.45500e-01
-1.66550e+00  8.59300e-01
-1.65560e+00  8.60900e-01
-1.66180e+00  8.61100e-01
-1.66510e+00  8.65850e-01
-1.65730e+00  8.67050e-01
-1.67170e+00  8.78250e-01
-1.66980e+00  8.70500e-01
-1.66080e+00  8.70400e-01
-1.67900e+00  8.75700e-01
-1.66530e+00  8.60450e-01
-1.66750e+00  8.61450e-01
-1.66120e+00  8.60650e-01
-1.65990e+00  8.70950e-01
-1.66930e+00  8.68850e-01
-1.66640e+00  8.66100e-01
-1.68990e+00  8.80650e-01
-1.66480e+00  8.63000e-01
-1.66170e+00  8.64500e-01
-1.66900e+00  8.70100e-01
-1.66520e+00  8.58850e-01
-1.66070e+00  8.53200e-01
-1.67120e+00  8.63700e-01
-1.64980e+00  8.52900e-01
-1.66770e+00  8.51650e-01
-1.66440e+00  8.61700e-01
-1.66100e+00  8.60400e-01
-1.65660e+00  8.51900e-01
-1.64030e+00  8.45400e-01
-1.67690e+00  8.72150e-01
-1.67540e+00  8.77500e-01
-1.66290e+00  8.67050e-01
-1.66470e+00  8.71150e-01
-1.66740e+00  8.62350e-01
-1.65770e+00  8.55800e-01
-1.64900e+00  8.66300e-01
-1.66490e+00  8.63250e-01
-1.66920e+00  8.69800e-01
-1.67270e+00  8.70050e-01
-1.65990e+00  8.57300e-01
-1.67230e+00  8.60300e-01
-1.66590e+00  8.55650e-01
-1.66150e+00  8.57650e-01
-1.65600e+00  8.52700e-01
-1.65070e+00  8.55650e-01
-1.67350e+00  8.72600e-01
-1.67290e+00  8.68800e-01
-1.66820e+00  8.65000e-01
-1.65700e+00  8.65300e-01
-1.65680e+00  8.66150e-01
-1.67020e+00  8.68600e-01
-1.66750e+00  8.66600e-01
-1.67690e+00  8.74500e-01
-1.65990e+00  8.71800e-01
-1.65980e+00  8.61100e-01
-1.66380e+00  8.62900e-01
-1.66340e+00  8.69350e-01
-1.66990e+00  8.71150e-01
-1.68540e+00  8.80500e-01
-1.64780e+00  8.60950e-01
-1.65370e+00  8.58850e-01
-1.66160e+00  8.61700e-01
-1.66450e+00  8.58900e-01
-1.64530e+00  8.59100e-01
-1.66150e+00  8.62550e-01
-1.64640e+00  8.53250e-01
-1.65170e+00  8.59350e-01
-1.66360e+00  8.64550e-01
-1.65910e+00  8.64350e-01
-1.67100e+00  8.69600e-01
-1.66910e+00  8.67900e-01
-1.66780e+00  8.66550e-01
-1.65180e+00  8.60250e-01
-1.68200e+00  8.78500e-01
-1.64730e+00  8.56500e-01
-1.67100e+00  8.61400e-01
-1.64550e+00  8.49650e-01
-1.65700e+00  8.64650e-01
-1.67000e+00  8.71950e-01
-1.67150e+00  8.67050e-01
-1.65700e+00  8.66150e-01
-1.67340e+00  8.67350e-01
-1.66290e+00  8.62600e-01
-1.67740e+00  8.72650e-01
-1.65610e+00  8.61400e-01
-1.65660e+00  8.54150e-01
-1.66130e+00  8.55100e-01
-1.68730e+00  8.76550e-01
-1.66310e+00  8.58250e-01
-1.65390e+00  8.62800e-01
-1.65560e+00  8.60650e-01
-1.66990e+00  8.69150e-01
-1.66150e+00  8.56850e-01
-1.66770e+00  8.66300e-01
-1.67860e+00  8.70900e-01
-1.66390e+00  8.59500e-01
-1.65370e+00  8.51450e-01
-1.64830e+00  8.48550e-01
-1.65830e+00  8.60450e-01
-1.66500e+00  8.62200e-01
-1.68400e+00  8.76000e-01
-1.64980e+00  8.48200e-01
-1.67490e+00  8.65800e-01
-1.67350e+00  8.67800e-01
-1.66580e+00  8.68050e-01
-1.65950e+00  8.61950e-01
-1.63870e+00  8.52050e-01
-1.67320e+00  8.67250e-01
-1.64580e+00  8.56650e-01
-1.68040e+00  8.70000e-01
-1.66070e+00  8.65900e-01
-1.65900e+00  8.62200e-01
-1.66670e+00  8.66500e-01
-1.67400e+00  8.76450e-01
-1.68240e+00  8.75950e-01
-1.64600e+00  8.57100e-01
-1.65980e+00  8.62200e-01
-1.65780e+00  8.61550e-01
-1.66730e+00  8.64350e-01
-1.66300e+00  8.64650e-01
-1.65810e+00  8.61700e-01
-1.66260e+00  8.64750e-01
-1.65270e+00  8.64000e-01
-1.67730e+00  8.77900e-01
-1.66330e+00  8.65750e-01
-1.66500e+00  8.63950e-01
-1.65270e+00  8.60400e-01
-1.65990e+00  8.59450e-01
-1.66220e+00  8.64150e-01
-1.66690e+00  8.65150e-01
-1.67540e+00  8.73000e-01
-1.67030e+00  8.72700e-01
-1.66900e+00  8.68550e-01
-1.67360e+00  8.72850e-01
-1.66430e+00  8.62350e-01
-1.66160e+00  8.57250e-01
-1.67440e+00  8.61200e-01
-1.66850e+00  8.54450e-01
-1.65600e+00  8.51200e-01
-1.67540e+00  8.70350e-01
-1.68470e+00  8.77100e-01
-1.66170e+00  8.55250e-01
-1.67100e+00  8.72450e-01
-1.68290e+00  8.77600e-01
-1.65520e+00  8.60550e-01
-1.66220e+00  8.60900e-01
-1.66340e+00  8.72700e-01
-1.65360e+00  8.58500e-01
-1.65180e+00  8.59650e-01
-1.68140e+00  8.74950e-01
-1.66750e+00  8.64250e-01
-1.65340e+00  8.56500e-01
-1.66340e+00  8.65200e-01
-1.66020e+00  8.61000e-01
-1.65140e+00  8.54650e-01
-1.65960e+00  8.51450e-01
-1.66690e+00  8.61500e-01
-1.67860e+00  8.75300e-01
-1.67780e+00  8.75200e-01
-1.66400e+00  8.63650e-01
-1.64910e+00  8.56550e-01
-1.67710e+00  8.65250e-01
-1.66230e+00  8.60700e-01
-1.65410e+00  8.57300e-01
-1.67840e+00  8.75300e-01
-1.65650e+00  8.60000e-01
-1.66590e+00  8.67900e-01
-1.66000e+00  8.64200e-01
-1.66790e+00  8.66650e-01
-1.66350e+00  8.59900e-01
-1.68220e+00  8.78100e-01
-1.65810e+00  8.67850e-01
-1.65780e+00  8.63750e-01
-1.66650e+00  8.67350e-01
-1.68150e+00  8.74100e-01
-1.67230e+00  8.74450e-01
-1.66870e+00  8.67800e-01
-1.67470e+00  8.65400e-01
-1.66570e+00  8.62600e-01
-1.66040e+00  8.62700e-01
-1.66250e+00  8.54050e-01
-1.66340e+00  8.61550e-01
-1.66590e+00  8.59800e-01
-1.65780e+00  8.61300e-01
-1.66050e+00  8.54700e-01
-1.66860e+00  8.61300e-01
-1.67080e+00  8.65900e-01
-1.65400e+00  8.61700e-01
-1.65270e+00  8.61400e-01
-1.65730e+00  8.60900e-01
-1.66580e+00  8.70550e-01
-1.68540e+00  8.76050e-01
-1.65460e+00  8.50500e-01
-1.66760e+00  8.62300e-01
-1.66650e+00  8.64400e-01
-1.65000e+00  8.55450e-01
-1.67630e+00  8.57850e-01
-1.68840e+00  8.78050e-01
-1.66870e+00  8.67450e-01
-1.66720e+00  8.67500e-01
-1.67560e+00  8.69250e-01
-1.66690e+00  8.62200e-01
-1.67280e+00  8.69400e-01
-1.67200e+00  8.71600e-01
-1.65990e+00  8.67200e-01
-1.64180e+00  8.61950e-01
-1.66150e+00  8.70300e-01
-1.66650e+00  8.65500e-01
-1.67680e+00  8.74400e-01
-1.66670e+00  8.68000e-01
-1.66040e+00  8.60250e-01
-1.67370e+00  8.68700e-01
-1.64960e+00  8.62150e-01
-1.68390e+00  8.80450e-01
-1.66130e+00  8.72700e-01
-1.66550e+00  8.70800e-01
-1.66240e+00  8.64650e-01
-1.66750e+00  8.73450e-01
-1.67220e+00  8.71150e-01
-1.65700e+00  8.61100e-01
-1.66290e+00  8.45300e-01
-1.65330e+00  8.43050e-01
-1.65810e+00  8.61900e-01
-1.66970e+00  8.70550e-01
-1.66250e+00  8.66350e-01
-1.65520e+00  8.55700e-01
-1.67920e+00  8.74050e-01
-1.64900e+00  8.59800e-01
-1.66460e+00  8.61600e-01
-1.64730e+00  8.55600e-01
-1.67370e+00  8.74100e-01
-1.66520e+00  8.64850e-01
-1.66800e+00  8.70150e-01
-1.66850e+00  8.70950e-01
-1.68020e+00  8.78900e-01
-1.66830e+00  8.62850e-01
-1.66350e+00  8.58650e-01
-1.65760e+00  8.48350e-01
-1.67320e+00  8.69350e-01
-1.66510e+00  8.62400e-01
-1.68270e+00  8.70500e-01
-1.65690e+00  8.56850e-01
-1.67300e+00  8.68150e-01
-1.66970e+00  8.65500e-01
-1.67760e+00  8.71750e-01
-1.65390e+00  8.62600e-01
-1.69140e+00  8.82000e-01
-1.65410e+00  8.60600e-01
-1.66310e+00  8.64000e-01
-1.65790e+00  8.68500e-01
-1.65930e+00  8.65500e-01
-1.66560e+00  8.67050e-01
-1.67220e+00  8.71700e-01
-1.66560e+00  8.69300e-01
-1.67350e+00  8.74550e-01
-1.66070e+00  8.67350e-01
-1.68340e+00  8.76400e-01
-1.66880e+00  8.70100e-01
-1.67900e+00  8.72850e-01
-1.67550e+00  8.72000e-01
-1.67960e+00  8.72900e-01
-1.65730e+00  8.61450e-01
-1.66600e+00  8.63100e-01
-1.66970e+00  8.66750e-01
-1.66180e+00  8.60400e-01
-1.66850e+00  8.68200e-01
-1.66950e+00  8.69050e-01
-1.66270e+00  8.63950e-01
-1.66550e+00  8.64550e-01
-1.67190e+00  8.62150e-01
-1.65260e+00  8.40400e-01
-1.64920e+00  8.40950e-01
-1.65910e+00  8.42550e-01
-1.66490e+00  8.68450e-01
-1.66110e+00  8.64200e-01
-1.66440e+00  8.62200e-01
-1.66040e+00  8.53900e-01
-1.66530e+00  8.62900e-01
-1.64630e+00  8.38750e-01
-1.65660e+00  8.51700e-01
-1.65610e+00  8.56850e-01
-1.66980e+00  8.63400e-01
-1.66230e+00  8.60000e-01
-1.66310e+00  8.60700e-01
-1.63730e+00  8.48500e-01
-1.68850e+00  8.77050e-01
-1.66430e+00  8.67500e-01
-1.67540e+00  8.76950e-01
-1.66270e+00  8.63000e-01
-1.66680e+00  8.69900e-01
-1.66660e+00  8.73200e-01
-1.65330e+00  8.64350e-01
-1.67410e+00  8.72900e-01
-1.67410e+00  8.74050e-01
-1.66470e+00  8.63800e-01
-1.67320e+00  8.73200e-01
-1.64990e+00  8.63500e-01
-1.67700e+00  8.68250e-01
-1.65670e+00  8.64600e-01
-1.66620e+00  8.65300e-01
-1.65930e+00  8.59750e-01
-1.68160e+00  8.74000e-01
-1.65970e+00  8.65100e-01
-1.65610e+00  8.52550e-01
-1.65640e+00  8.65500e-01
-1.67850e+00  8.75400e-01
-1.65520e+00  8.54250e-01
-1.66340e+00  8.68800e-01
-1.66960e+00  8.65500e-01
-1.69210e+00  8.85900e-01
-1.67030e+00  8.76750e-01
-1.67140e+00  8.70350e-01
-1.67300e+00  8.69700e-01
-1.65040e+00  8.55600e-01
-1.67130e+00  8.68600e-01
-1.66550e+00  8.72400e-01
-1.66370e+00  8.68650e-01
-1.66860e+00  8.67400e-01
-1.66180e+00  8.64250e-01
-1.65700e+00  8.66050e-01
-1.67240e+00  8.70950e-01
-1.65080e+00  8.51300e-01
-1.67380e+00  8.69100e-01
-1.68130e+00  8.72150e-01
-1.66360e+00  8.59850e-01
-1.66310e+00  8.63700e-01
-1.64850e+00  8.57850e-01
-1.65050e+00  8.49000e-01
-1.65860e+00  8.62900e-01
-1.67600e+00  8.66900e-01
-1.64910e+00  8.46800e-01
-1.65700e+00  8.62250e-01
-1.66940e+00  8.73800e-01
-1.64990e+00  8.51100e-01
-1.66220e+00  8.57450e-01
-1.66950e+00  8.73350e-01
-1.66950e+00  8.72350e-01
-1.68760e+00  8.87100e-01
-1.66540e+00  8.70850e-01
-1.68490e+00  8.75600e-01
-1.66080e+00  8.59850e-01
-1.65550e+00  8.58800e-01
-1.66570e+00  8.60850e-01
-1.65470e+00  8.55350e-01
