T=2.30000e+00  B=0.00000e+00  ns=16384  E_exact=-1.34287e+00  M_exact=0.00000e+00
     E           M        
-1.34741e+00  -5.09888e-01
-1.33276e+00  -5.20020e-01
-1.39722e+00  -6.08276e-01
-1.35742e+00  -5.54565e-01
-1.39209e+00  -5.88501e-01
-1.38110e+00  -5.78003e-01
-1.34619e+00  -5.27466e-01
-1.35986e+00  -5.08789e-01
-1.33154e+00  -4.64233e-01
-1.36255e+00  -4.88770e-01
-1.35449e+00  -4.70459e-01
-1.37085e+00  -4.66064e-01
-1.39209e+00  -5.16724e-01
-1.39380e+00  -5.35034e-01
-1.38208e+00  -5.99365e-01
-1.36035e+00  -5.46265e-01
-1.38672e+00  -6.06567e-01
-1.42114e+00  -6.20728e-01
-1.38403e+00  -5.92285e-01
-1.38794e+00  -5.97534e-01
-1.38525e+00  -5.72632e-01
-1.36401e+00  -5.42480e-01
-1.41455e+00  -6.06567e-01
-1.37476e+00  -5.76172e-01
-1.40039e+00  -6.16577e-01
-1.39160e+00  -6.48560e-01
-1.41675e+00  -6.59790e-01
-1.42139e+00  -6.34888e-01
-1.39209e+00  -6.50146e-01
-1.39966e+00  -6.14380e-01
-1.36963e+00  -5.89600e-01
-1.39160e+00  -5.66895e-01
-1.34814e+00  -5.06714e-01
-1.37622e+00  -5.27954e-01
-1.38232e+00  -5.21362e-01
-1.38184e+00  -5.11230e-01
-1.33789e+00  -4.29199e-01
-1.30493e+00  -3.65601e-01
-1.30127e+00  -3.67310e-01
-1.30493e+00  -3.36426e-01
-1.34814e+00  -3.14941e-01
-1.34204e+00  -3.35327e-01
-1.33203e+00  -3.81958e-01
-1.35205e+00  -4.55811e-01
-1.37231e+00  -4.78149e-01
-1.36353e+00  -4.94995e-01
-1.36475e+00  -5.43213e-01
-1.35913e+00  -4.93652e-01
-1.36182e+00  -4.63989e-01
-1.36035e+00  -4.30420e-01
-1.34766e+00  -4.17114e-01
-1.34937e+00  -3.44971e-01
-1.33716e+00  -3.10669e-01
-1.32861e+00  -3.24341e-01
-1.35229e+00  -3.79883e-01
-1.37256e+00  -3.73047e-01
-1.32544e+00  -3.47534e-01
-1.36499e+00  -3.68164e-01
-1.34766e+00  -4.01733e-01
-1.33789e+00  -3.98315e-01
-1.36035e+00  -4.40063e-01
-1.36548e+00  -4.44946e-01
-1.36401e+00  -4.52881e-01
-1.37622e+00  -4.48730e-01
-1.36060e+00  -4.00269e-01
-1.35010e+00  -4.75098e-01
-1.37012e+00  -4.86328e-01
-1.33301e+00  -4.60327e-01
-1.32910e+00  -4.85962e-01
-1.34546e+00  -4.21753e-01
-1.36108e+00  -3.81836e-01
-1.33398e+00  -4.07349e-01
-1.32837e+00  -4.12964e-01
-1.34106e+00  -3.77075e-01
-1.35498e+00  -3.75488e-01
-1.37280e+00  -3.96484e-01
-1.34155e+00  -3.76221e-01
-1.35718e+00  -3.23242e-01
-1.32764e+00  -2.89062e-01
-1.33081e+00  -3.41553e-01
-1.33057e+00  -3.19824e-01
-1.33545e+00  -3.10791e-01
-1.32715e+00  -3.31299e-01
-1.36792e+00  -3.89526e-01
-1.35645e+00  -3.55713e-01
-1.33838e+00  -3.16650e-01
-1.33569e+00  -2.91992e-01
-1.31396e+00  -2.85034e-01
-1.34717e+00  -2.62207e-01
-1.33179e+00  -2.62695e-01
-1.32715e+00  -2.70874e-01
-1.36523e+00  -2.64771e-01
-1.34106e+00  -1.99585e-01
-1.31982e+00  -1.93848e-01
-1.31128e+00  -1.67480e-01
-1.30176e+00  -1.11938e-01
-1.32104e+00  -8.97217e-02
-1.31104e+00  -3.66211e-02
-1.33105e+00  -7.64160e-02
-1.32129e+00  -5.45654e-02
-1.33081e+00  -5.63965e-02
-1.37988e+00  -4.21143e-02
-1.32007e+00  -5.18799e-02
-1.33765e+00  -7.34863e-02
-1.34082e+00  2.63672e-02
-1.30298e+00  4.02832e-02
-1.32690e+00  1.75659e-01
-1.35229e+00  2.13745e-01
-1.34448e+00  1.97998e-01
-1.29297e+00  2.48169e-01
-1.32300e+00  1.81152e-01
-1.33130e+00  1.70166e-01
-1.31836e+00  1.64429e-01
-1.35327e+00  1.30737e-01
-1.35596e+00  1.57104e-01
-1.36841e+00  2.51831e-01
-1.30835e+00  1.65771e-01
-1.29663e+00  1.12671e-01
-1.32031e+00  1.24023e-01
-1.30762e+00  2.15332e-01
-1.31396e+00  2.78320e-01
-1.30176e+00  2.33887e-01
-1.31812e+00  2.39136e-01
-1.35645e+00  2.77832e-01
-1.33716e+00  2.55127e-01
-1.34204e+00  3.48022e-01
-1.38086e+00  3.32886e-01
-1.36304e+00  3.78052e-01
-1.34473e+00  4.05884e-01
-1.35034e+00  3.64868e-01
-1.35767e+00  2.69165e-01
-1.31030e+00  2.45728e-01
-1.33569e+00  2.44751e-01
-1.33960e+00  2.22046e-01
-1.30176e+00  1.55884e-01
-1.29956e+00  1.91040e-01
-1.30591e+00  1.31104e-01
-1.33667e+00  9.35059e-02
-1.33228e+00  1.21094e-01
-1.34473e+00  1.57104e-01
-1.32129e+00  1.62354e-01
-1.35083e+00  1.63086e-01
-1.35693e+00  1.20239e-01
-1.32959e+00  1.20239e-01
-1.31763e+00  7.20215e-02
-1.33276e+00  8.36182e-02
-1.34058e+00  1.55029e-01
-1.31665e+00  1.30615e-01
-1.33545e+00  1.52344e-01
-1.31445e+00  1.75171e-01
-1.35498e+00  1.25732e-01
-1.33228e+00  1.89575e-01
-1.34448e+00  2.35352e-01
-1.35962e+00  2.38647e-01
-1.34302e+00  2.12158e-01
-1.33740e+00  1.81763e-01
-1.32129e+00  2.07520e-01
-1.32397e+00  1.83960e-01
-1.36475e+00  1.98853e-01
-1.35205e+00  1.77246e-01
-1.36377e+00  1.99951e-01
-1.35693e+00  2.40601e-01
-1.34009e+00  2.70752e-01
-1.34277e+00  2.04468e-01
-1.33203e+00  2.17773e-01
-1.36084e+00  2.52563e-01
-1.32129e+00  2.24365e-01
-1.30518e+00  2.83081e-01
-1.31763e+00  2.93579e-01
-1.36060e+00  3.07983e-01
-1.35962e+00  2.67822e-01
-1.35010e+00  2.20581e-01
-1.29541e+00  2.26929e-01
-1.33398e+00  1.71265e-01
-1.35620e+00  1.82983e-01
-1.31274e+00  1.48315e-01
-1.30420e+00  1.70532e-01
-1.30469e+00  1.74805e-01
-1.34741e+00  2.08130e-01
-1.37231e+00  1.66382e-01
-1.31299e+00  1.47705e-01
-1.32935e+00  1.21948e-01
-1.31641e+00  1.56006e-01
-1.33838e+00  1.30615e-01
-1.29150e+00  1.15479e-01
-1.31445e+00  8.45947e-02
-1.32593e+00  1.35986e-01
-1.32910e+00  1.42822e-01
-1.33423e+00  1.94092e-01
-1.33398e+00  1.69434e-01
-1.32349e+00  1.64551e-01
-1.32788e+00  1.56128e-01
-1.34717e+00  1.28662e-01
-1.34204e+00  1.19751e-01
-1.35059e+00  1.70532e-01
-1.37671e+00  1.75171e-01
-1.32422e+00  2.06787e-01
-1.35010e+00  2.12036e-01
-1.36694e+00  2.58179e-01
-1.32495e+00  2.43530e-01
-1.37500e+00  3.19092e-01
-1.35327e+00  3.43018e-01
-1.38794e+00  2.79785e-01
-1.33398e+00  2.95654e-01
-1.37476e+00  3.32275e-01
-1.32373e+00  3.53027e-01
-1.32544e+00  3.26538e-01
-1.29736e+00  2.90405e-01
-1.33032e+00  3.57544e-01
-1.31982e+00  3.04321e-01
-1.33911e+00  3.30933e-01
-1.30615e+00  3.65845e-01
-1.34106e+00  3.69629e-01
-1.32495e+00  3.52295e-01
-1.31396e+00  3.65356e-01
-1.37476e+00  3.26538e-01
-1.34546e+00  3.38745e-01
-1.33594e+00  2.56836e-01
-1.35059e+00  2.38647e-01
-1.34131e+00  2.80518e-01
-1.35840e+00  3.25928e-01
-1.35767e+00  3.40698e-01
-1.35938e+00  3.27637e-01
-1.37061e+00  3.26538e-01
-1.34033e+00  3.10669e-01
-1.35400e+00  2.48291e-01
-1.36328e+00  2.08984e-01
-1.34375e+00  2.52563e-01
-1.35938e+00  2.38037e-01
-1.35791e+00  2.74902e-01
-1.36768e+00  2.82715e-01
-1.34619e+00  2.64648e-01
-1.35303e+00  2.63916e-01
-1.32275e+00  2.66602e-01
-1.32446e+00  2.56226e-01
-1.33398e+00  2.83936e-01
-1.32544e+00  2.48901e-01
-1.30811e+00  2.60864e-01
-1.34863e+00  2.70996e-01
-1.37109e+00  3.21899e-01
-1.34326e+00  3.01514e-01
-1.36182e+00  3.74634e-01
-1.34009e+00  3.72192e-01
-1.33447e+00  3.69141e-01
-1.34033e+00  3.37280e-01
-1.37695e+00  2.80640e-01
-1.29858e+00  2.21924e-01
-1.29736e+00  1.90918e-01
-1.31763e+00  1.83350e-01
-1.31689e+00  2.30469e-01
-1.35181e+00  2.54761e-01
-1.35083e+00  2.39868e-01
-1.33740e+00  2.66113e-01
-1.33740e+00  2.17773e-01
-1.31494e+00  1.76758e-01
-1.32373e+00  1.55151e-01
-1.32324e+00  1.60767e-01
-1.32495e+00  1.77612e-01
-1.32739e+00  1.65405e-01
-1.34741e+00  1.30005e-01
-1.33130e+00  1.13647e-01
-1.32959e+00  1.15845e-01
-1.31494e+00  1.35742e-01
-1.34546e+00  1.53198e-01
-1.34082e+00  1.87012e-01
-1.37329e+00  2.07642e-01
-1.36621e+00  1.51245e-01
-1.36694e+00  1.35376e-01
-1.33643e+00  1.33911e-01
-1.36182e+00  1.25732e-01
-1.33862e+00  1.87744e-01
-1.36987e+00  1.06567e-01
-1.34351e+00  1.64429e-01
-1.35840e+00  1.09131e-01
-1.36108e+00  6.92139e-02
-1.31958e+00  8.26416e-02
-1.33813e+00  4.00391e-02
-1.31519e+00  -4.84619e-02
-1.34033e+00  -5.24902e-02
-1.33447e+00  -5.43213e-02
-1.33032e+00  -1.95312e-02
-1.33960e+00  3.99170e-02
-1.31396e+00  9.82666e-02
-1.34937e+00  1.50024e-01
-1.40845e+00  2.32666e-01
-1.33643e+00  2.70874e-01
-1.34912e+00  2.62085e-01
-1.35400e+00  2.81250e-01
-1.35840e+00  2.87109e-01
-1.37573e+00  2.51221e-01
-1.35400e+00  2.10693e-01
-1.36279e+00  1.65771e-01
-1.33130e+00  6.29883e-02
-1.33032e+00  1.06079e-01
-1.32959e+00  6.33545e-02
-1.33398e+00  4.62646e-02
-1.35547e+00  1.61255e-01
-1.36499e+00  1.35010e-01
-1.34790e+00  1.05957e-01
-1.37329e+00  1.51733e-01
-1.31958e+00  1.71997e-01
-1.34351e+00  2.24976e-01
-1.34326e+00  2.45483e-01
-1.32764e+00  2.96143e-01
-1.33350e+00  3.13843e-01
-1.31714e+00  2.49023e-01
-1.33130e+00  3.11646e-01
-1.32422e+00  2.75146e-01
-1.31445e+00  3.01636e-01
-1.38452e+00  2.97974e-01
-1.34351e+00  3.07617e-01
-1.35791e+00  2.87964e-01
-1.36377e+00  2.85767e-01
-1.35840e+00  2.74048e-01
-1.30225e+00  2.29126e-01
-1.35449e+00  2.92236e-01
-1.32422e+00  1.92017e-01
-1.34009e+00  1.94580e-01
-1.32471e+00  2.24121e-01
-1.34302e+00  2.66846e-01
-1.34521e+00  3.22021e-01
-1.33228e+00  3.33252e-01
-1.35913e+00  3.23730e-01
-1.34204e+00  3.16406e-01
-1.31787e+00  2.55005e-01
-1.34473e+00  2.30835e-01
-1.32007e+00  2.79785e-01
-1.35620e+00  2.78687e-01
-1.35986e+00  2.34741e-01
-1.35425e+00  1.86279e-01
-1.31445e+00  1.78467e-01
-1.34326e+00  2.42065e-01
-1.32861e+00  2.47192e-01
-1.32837e+00  2.63428e-01
-1.34058e+00  2.30225e-01
-1.35913e+00  2.31323e-01
-1.31934e+00  2.68921e-01
-1.36304e+00  2.80640e-01
-1.33667e+00  2.95532e-01
-1.35620e+00  3.15186e-01
-1.31470e+00  2.98096e-01
-1.35571e+00  2.94800e-01
-1.37744e+00  2.43896e-01
-1.33911e+00  2.25342e-01
-1.34180e+00  1.50757e-01
-1.33569e+00  1.84204e-01
-1.30127e+00  2.02393e-01
-1.34570e+00  2.48047e-01
-1.33789e+00  2.25952e-01
-1.35718e+00  2.58423e-01
-1.34937e+00  2.56348e-01
-1.36548e+00  2.07031e-01
-1.36377e+00  2.27905e-01
-1.37354e+00  2.23389e-01
-1.33081e+00  2.16309e-01
-1.32373e+00  2.02026e-01
-1.36230e+00  1.57471e-01
-1.30811e+00  1.44409e-01
-1.33936e+00  1.41846e-01
-1.36841e+00  1.39282e-01
-1.35547e+00  1.30005e-01
-1.36743e+00  1.20728e-01
-1.30322e+00  9.89990e-02
-1.32715e+00  1.20972e-01
-1.34424e+00  1.97144e-01
-1.33984e+00  1.75903e-01
-1.29395e+00  2.00806e-01
-1.33057e+00  1.52588e-01
-1.31738e+00  1.69800e-01
-1.30249e+00  2.27661e-01
-1.31836e+00  2.37061e-01
-1.36353e+00  3.20190e-01
-1.34888e+00  2.52075e-01
-1.32300e+00  2.90894e-01
-1.32397e+00  2.78687e-01
-1.33398e+00  2.74414e-01
-1.33716e+00  2.67700e-01
-1.34521e+00  2.82715e-01
-1.36279e+00  2.34375e-01
-1.32202e+00  2.39502e-01
-1.34839e+00  2.22290e-01
-1.35205e+00  2.42065e-01
-1.30664e+00  2.54639e-01
-1.32373e+00  2.69165e-01
-1.34424e+00  2.38037e-01
-1.32666e+00  2.38525e-01
-1.37573e+00  2.50488e-01
-1.38037e+00  2.73315e-01
-1.30762e+00  2.94800e-01
-1.33594e+00  2.60376e-01
-1.33154e+00  2.76611e-01
-1.35498e+00  2.70020e-01
-1.34985e+00  2.50366e-01
-1.35962e+00  2.72095e-01
-1.29663e+00  2.91016e-01
-1.31274e+00  2.93457e-01
-1.32495e+00  2.69653e-01
-1.32837e+00  2.65381e-01
-1.35767e+00  3.53882e-01
-1.36523e+00  3.28613e-01
-1.38184e+00  3.01025e-01
-1.32251e+00  2.88208e-01
-1.30981e+00  3.82080e-01
-1.30298e+00  3.77075e-01
-1.36206e+00  3.82812e-01
-1.34668e+00  3.52661e-01
-1.33374e+00  3.86108e-01
-1.29956e+00  3.70605e-01
-1.35889e+00  3.48633e-01
-1.37842e+00  3.59985e-01
-1.39648e+00  3.85864e-01
-1.35400e+00  3.08838e-01
-1.32397e+00  3.20435e-01
-1.32471e+00  3.08472e-01
-1.36621e+00  3.67310e-01
-1.34277e+00  3.28003e-01
-1.35938e+00  3.29712e-01
-1.31372e+00  2.90283e-01
-1.35278e+00  2.86865e-01
-1.36304e+00  3.08105e-01
-1.34985e+00  2.38647e-01
-1.32959e+00  1.95312e-01
-1.32861e+00  1.32202e-01
-1.34766e+00  1.53564e-01
-1.33301e+00  1.65405e-01
-1.35767e+00  1.96899e-01
-1.34082e+00  1.37207e-01
-1.31934e+00  8.09326e-02
-1.29761e+00  8.30078e-02
-1.32690e+00  1.79199e-01
-1.35596e+00  2.44263e-01
-1.36133e+00  2.08740e-01
-1.34204e+00  1.82861e-01
-1.31592e+00  1.58813e-01
-1.35742e+00  2.05078e-01
-1.37158e+00  2.04102e-01
-1.32324e+00  2.12891e-01
-1.35962e+00  2.23511e-01
-1.34692e+00  2.02148e-01
-1.33472e+00  1.95801e-01
-1.34009e+00  1.61865e-01
-1.34985e+00  1.14258e-01
-1.34473e+00  1.52344e-01
-1.34937e+00  1.66626e-01
-1.36768e+00  2.16553e-01
-1.33789e+00  2.19849e-01
-1.31592e+00  2.45728e-01
-1.32617e+00  2.40112e-01
-1.32666e+00  2.50854e-01
-1.33643e+00  1.57837e-01
-1.33130e+00  6.16455e-02
-1.37549e+00  4.62646e-02
-1.32056e+00  7.23877e-02
-1.31860e+00  8.91113e-02
-1.33105e+00  1.04980e-01
-1.37622e+00  1.02417e-01
-1.32935e+00  1.04858e-01
-1.31909e+00  1.09253e-01
-1.36865e+00  1.97266e-01
-1.35059e+00  1.53809e-01
-1.38599e+00  1.23169e-01
-1.35449e+00  1.71631e-01
-1.35913e+00  1.56860e-01
-1.33447e+00  1.39648e-01
-1.34058e+00  1.01562e-01
-1.32739e+00  5.16357e-02
-1.32324e+00  7.12891e-02
-1.33911e+00  1.30127e-01
-1.34448e+00  1.20117e-01
-1.37207e+00  8.64258e-02
-1.33984e+00  3.18604e-02
-1.34570e+00  2.07520e-03
-1.34961e+00  2.18506e-02
-1.31470e+00  2.44141e-02
-1.32446e+00  8.17871e-02
-1.32788e+00  1.55029e-02
-1.32690e+00  -1.30615e-02
-1.32837e+00  -1.14746e-02
-1.28760e+00  5.04150e-02
-1.31982e+00  3.82080e-02
-1.30713e+00  2.22168e-02
-1.33887e+00  8.66699e-03
-1.29077e+00  3.56445e-02
-1.31055e+00  4.91943e-02
-1.33521e+00  6.94580e-02
-1.29346e+00  1.15723e-01
-1.29590e+00  1.33057e-01
-1.32715e+00  6.82373e-02
-1.33740e+00  1.06812e-01
-1.30835e+00  1.51367e-01
-1.37476e+00  2.88330e-01
-1.33740e+00  2.85522e-01
-1.37793e+00  1.69067e-01
-1.33325e+00  9.13086e-02
-1.33765e+00  9.13086e-02
-1.33447e+00  1.40503e-01
-1.31494e+00  1.60522e-01
-1.29785e+00  1.58569e-01
-1.30811e+00  8.21533e-02
-1.34961e+00  9.99756e-02
-1.32324e+00  1.26343e-01
-1.33374e+00  1.57104e-01
-1.32764e+00  1.26953e-01
-1.33057e+00  6.70166e-02
-1.38232e+00  9.27734e-02
-1.32642e+00  1.33057e-01
-1.34912e+00  1.60889e-01
-1.34497e+00  1.86035e-01
-1.34888e+00  2.31934e-01
-1.35352e+00  2.19360e-01
-1.31714e+00  2.02881e-01
-1.34009e+00  2.22656e-01
-1.33423e+00  2.01782e-01
-1.34961e+00  1.73584e-01
-1.31909e+00  6.45752e-02
-1.32617e+00  1.07544e-01
-1.33423e+00  3.72314e-02
-1.33594e+00  1.84326e-02
-1.32031e+00  -1.73340e-02
-1.35107e+00  -2.85645e-02
-1.31665e+00  4.10156e-02
-1.32812e+00  1.04370e-01
