T=2.30000e+00  B=0.00000e+00  ns=40000  E_exact=-1.34287e+00  M_exact=0.00000e+00
     E           M        
-1.36810e+00  3.39850e-01
-1.35900e+00  3.18550e-01
-1.38630e+00  3.49350e-01
-1.39330e+00  3.42450e-01
-1.36930e+00  3.50800e-01
-1.38180e+00  3.56900e-01
-1.37520e+00  3.40600e-01
-1.41950e+00  3.28700e-01
-1.37780e+00  2.96700e-01
-1.36710e+00  3.25950e-01
-1.37170e+00  2.89500e-01
-1.36430e+00  2.91950e-01
-1.37940e+00  2.77800e-01
-1.36600e+00  2.69650e-01
-1.37630e+00  2.66200e-01
-1.36900e+00  2.55800e-01
-1.38130e+00  2.59600e-01
-1.37130e+00  2.33800e-01
-1.36760e+00  2.54000e-01
-1.35430e+00  2.47300e-01
-1.37560e+00  2.82950e-01
-1.38120e+00  2.60000e-01
-1.36440e+00  2.52550e-01
-1.37760e+00  2.21700e-01
-1.36050e+00  1.88050e-01
-1.36770e+00  1.82600e-01
-1.36110e+00  2.06450e-01
-1.35740e+00  1.83600e-01
-1.36220e+00  1.55650e-01
-1.35780e+00  1.64400e-01
-1.35880e+00  1.97950e-01
-1.37420e+00  2.09850e-01
-1.37120e+00  2.14050e-01
-1.35890e+00  2.11250e-01
-1.36000e+00  2.13400e-01
-1.35480e+00  1.99350e-01
-1.37060e+00  2.21750e-01
-1.35890e+00  2.12000e-01
-1.34490e+00  2.28800e-01
-1.35280e+00  1.57000e-01
-1.33630e+00  1.55450e-01
-1.33130e+00  1.45300e-01
-1.32650e+00  1.31400e-01
-1.33820e+00  9.77500e-02
-1.34520e+00  1.11600e-01
-1.34890e+00  1.29900e-01
-1.35910e+00  1.55400e-01
-1.37060e+00  1.47200e-01
-1.33740e+00  1.37450e-01
-1.33990e+00  1.36300e-01
-1.36690e+00  1.38600e-01
-1.36140e+00  1.71050e-01
-1.36540e+00  2.05550e-01
-1.35790e+00  2.07500e-01
-1.38940e+00  2.11450e-01
-1.37330e+00  2.12100e-01
-1.38480e+00  2.13900e-01
-1.37540e+00  2.04550e-01
-1.38540e+00  2.16050e-01
-1.38740e+00  2.06900e-01
-1.37180e+00  2.11700e-01
-1.37580e+00  2.06550e-01
-1.36430e+00  1.90050e-01
-1.39550e+00  2.23950e-01
-1.37870e+00  2.02150e-01
-1.39810e+00  1.79200e-01
-1.38630e+00  1.46150e-01
-1.37600e+00  1.19450e-01
-1.36180e+00  1.14700e-01
-1.36140e+00  1.07550e-01
-1.37060e+00  7.36500e-02
-1.35210e+00  7.44000e-02
-1.34820e+00  6.72500e-02
-1.36950e+00  1.16300e-01
-1.36300e+00  1.50150e-01
-1.35420e+00  1.92050e-01
-1.33080e+00  2.14650e-01
-1.34300e+00  2.25150e-01
-1.35580e+00  2.58500e-01
-1.38350e+00  2.89200e-01
-1.39650e+00  2.84250e-01
-1.36260e+00  2.81400e-01
-1.35420e+00  2.31650e-01
-1.37990e+00  2.15500e-01
-1.36070e+00  1.77100e-01
-1.38880e+00  2.18600e-01
-1.37020e+00  2.11200e-01
-1.38230e+00  2.34200e-01
-1.37510e+00  1.89200e-01
-1.38920e+00  1.91000e-01
-1.35510e+00  1.94250e-01
-1.36420e+00  2.11400e-01
-1.37780e+00  2.20000e-01
-1.37380e+00  2.25650e-01
-1.36400e+00  1.89500e-01
-1.36310e+00  2.10250e-01
-1.38250e+00  2.33000e-01
-1.35860e+00  2.40700e-01
-1.34750e+00  2.38550e-01
-1.36630e+00  2.56950e-01
-1.37050e+00  2.93400e-01
-1.37770e+00  2.66000e-01
-1.39680e+00  2.64700e-01
-1.35750e+00  2.44500e-01
-1.34950e+00  2.52350e-01
-1.36500e+00  2.62850e-01
-1.35180e+00  3.03300e-01
-1.36720e+00  2.88850e-01
-1.36420e+00  3.07350e-01
-1.35830e+00  3.31300e-01
-1.35860e+00  3.56700e-01
-1.36290e+00  3.49300e-01
-1.37150e+00  3.49900e-01
-1.38120e+00  3.56250e-01
-1.39440e+00  3.89600e-01
-1.36180e+00  3.48000e-01
-1.35340e+00  3.38900e-01
-1.37230e+00  3.45700e-01
-1.36470e+00  3.05050e-01
-1.35930e+00  2.98500e-01
-1.38460e+00  2.96800e-01
-1.36610e+00  2.92050e-01
-1.36450e+00  2.81300e-01
-1.37190e+00  2.74750e-01
-1.36940e+00  2.92650e-01
-1.38060e+00  3.10700e-01
-1.37080e+00  2.99400e-01
-1.38490e+00  2.95650e-01
-1.36940e+00  2.79650e-01
-1.38980e+00  2.83100e-01
-1.38350e+00  2.45500e-01
-1.33840e+00  2.47400e-01
-1.37110e+00  2.30550e-01
-1.37740e+00  2.89300e-01
-1.34440e+00  2.72100e-01
-1.37850e+00  3.21800e-01
-1.34920e+00  3.54200e-01
-1.34040e+00  3.00350e-01
-1.33810e+00  2.58800e-01
-1.34830e+00  2.62300e-01
-1.34910e+00  2.89200e-01
-1.36710e+00  2.32900e-01
-1.36270e+00  2.48600e-01
-1.36660e+00  2.24300e-01
-1.37320e+00  1.74350e-01
-1.38270e+00  1.79350e-01
-1.39270e+00  1.82800e-01
-1.37000e+00  1.63900e-01
-1.38250e+00  2.05100e-01
-1.37570e+00  2.26150e-01
-1.33820e+00  2.23250e-01
-1.35540e+00  2.06750e-01
-1.37080e+00  2.23550e-01
-1.37770e+00  2.37150e-01
-1.36450e+00  2.12850e-01
-1.36100e+00  1.94750e-01
-1.34920e+00  1.84650e-01
-1.36490e+00  1.62650e-01
-1.36190e+00  1.71750e-01
-1.35010e+00  1.84950e-01
-1.35020e+00  1.89600e-01
-1.33150e+00  1.61300e-01
-1.35310e+00  1.79850e-01
-1.35150e+00  2.28400e-01
-1.38320e+00  2.60400e-01
-1.37230e+00  2.52450e-01
-1.36700e+00  2.52500e-01
-1.36110e+00  2.72400e-01
-1.36620e+00  2.71300e-01
-1.38710e+00  2.45050e-01
-1.36950e+00  2.70850e-01
-1.37940e+00  2.61050e-01
-1.35900e+00  2.04800e-01
-1.36210e+00  2.19250e-01
-1.37170e+00  2.46450e-01
-1.34490e+00  2.30800e-01
-1.36970e+00  2.61050e-01
-1.35910e+00  2.85500e-01
-1.35620e+00  2.77900e-01
-1.37680e+00  2.77850e-01
-1.36830e+00  2.63350e-01
-1.36210e+00  2.40800e-01
-1.37240e+00  2.62750e-01
-1.38390e+00  2.52850e-01
-1.34860e+00  2.75650e-01
-1.34500e+00  2.98050e-01
-1.36820e+00  3.16100e-01
-1.35190e+00  3.58000e-01
-1.37660e+00  3.40300e-01
-1.39140e+00  3.88750e-01
-1.37130e+00  3.69800e-01
-1.36900e+00  3.74850e-01
-1.39030e+00  3.74950e-01
-1.37050e+00  3.57050e-01
-1.37860e+00  3.71400e-01
-1.38000e+00  3.35900e-01
-1.39650e+00  3.48850e-01
-1.37120e+00  2.80100e-01
-1.37890e+00  2.88600e-01
-1.36530e+00  2.78850e-01
-1.36900e+00  2.99700e-01
-1.34850e+00  3.03750e-01
-1.35790e+00  3.36850e-01
-1.38250e+00  3.57700e-01
-1.37660e+00  3.40200e-01
-1.35160e+00  3.08650e-01
-1.37790e+00  3.46350e-01
-1.35910e+00  3.56500e-01
-1.36270e+00  3.26500e-01
-1.38010e+00  3.71300e-01
-1.37370e+00  3.80800e-01
-1.38190e+00  3.83750e-01
-1.37760e+00  3.42100e-01
-1.38540e+00  3.21100e-01
-1.36900e+00  3.19000e-01
-1.36080e+00  3.25800e-01
-1.37040e+00  3.34250e-01
-1.35210e+00  3.42050e-01
-1.38520e+00  3.63750e-01
-1.37970e+00  3.69200e-01
-1.37700e+00  3.59250e-01
-1.36980e+00  3.81600e-01
-1.37410e+00  3.73150e-01
