T=2.40000e+00  B=0.00000e+00  ns=16384  E_exact=-1.20397e+00  M_exact=0.00000e+00
     E           M        
--------------------------
-1.23145e+00  -1.61011e-01
-1.21924e+00  -7.78809e-02
-1.21533e+00  2.27051e-02
-1.20508e+00  1.00708e-01
-1.20972e+00  1.53809e-01
-1.20996e+00  1.45264e-01
-1.20581e+00  8.99658e-02
-1.18799e+00  4.33350e-02
-1.22412e+00  5.09033e-02
-1.21118e+00  8.89893e-02
-1.19360e+00  9.50928e-02
-1.20874e+00  7.99561e-02
-1.19019e+00  7.83691e-02
-1.22803e+00  5.33447e-02
-1.23022e+00  2.90527e-02
-1.24146e+00  6.56738e-02
-1.19287e+00  1.87988e-02
-1.18921e+00  -5.24902e-02
-1.20288e+00  -5.21240e-02
-1.20776e+00  -4.45557e-02
-1.21777e+00  -2.44141e-03
-1.22534e+00  -3.38135e-02
-1.19238e+00  -7.87354e-02
-1.19458e+00  -8.36182e-02
-1.22388e+00  1.58691e-03
-1.20947e+00  -7.32422e-02
-1.20483e+00  -3.85742e-02
-1.18164e+00  -2.94189e-02
-1.20142e+00  1.57471e-02
-1.18677e+00  6.59180e-03
-1.22314e+00  2.42920e-02
-1.20630e+00  -5.73730e-03
-1.17822e+00  -4.76074e-03
-1.20239e+00  8.54492e-03
-1.18994e+00  -2.92969e-02
-1.20825e+00  -4.37012e-02
-1.21973e+00  -9.88770e-02
-1.19434e+00  -7.86133e-02
-1.18579e+00  -4.51660e-02
-1.19312e+00  2.96631e-02
-1.20435e+00  -1.67236e-02
-1.19604e+00  -3.69873e-02
-1.20972e+00  -1.58691e-02
-1.14136e+00  -5.13916e-02
-1.17725e+00  -9.80225e-02
-1.19604e+00  -8.78906e-02
-1.19922e+00  -2.00195e-02
-1.19019e+00  2.19727e-03
-1.17017e+00  5.98145e-02
-1.18555e+00  7.56836e-03
-1.25000e+00  7.54395e-02
-1.20532e+00  2.75879e-02
-1.20361e+00  -5.12695e-03
-1.17944e+00  6.25000e-02
-1.22729e+00  6.66504e-02
-1.20508e+00  7.94678e-02
-1.21216e+00  3.12500e-02
-1.21094e+00  2.27051e-02
-1.20068e+00  -2.80762e-03
-1.22290e+00  9.15527e-03
-1.19702e+00  -1.19629e-02
-1.19629e+00  -2.94189e-02
-1.19922e+00  -6.99463e-02
-1.22412e+00  -1.02539e-01
-1.22827e+00  -2.85645e-02
-1.19580e+00  5.73730e-03
-1.20020e+00  3.96729e-02
-1.18384e+00  -1.35498e-02
-1.22168e+00  4.37012e-02
-1.20532e+00  6.46973e-02
-1.20703e+00  4.32129e-02
-1.18457e+00  -4.73633e-02
-1.19043e+00  2.97852e-02
-1.20215e+00  2.30713e-02
-1.18921e+00  4.21143e-02
-1.19922e+00  2.08740e-02
-1.20972e+00  5.13916e-02
-1.20581e+00  1.95312e-03
-1.23633e+00  7.91016e-02
-1.20532e+00  8.15430e-02
-1.21094e+00  1.57104e-01
-1.23706e+00  1.19019e-01
-1.22900e+00  9.69238e-02
-1.22339e+00  7.73926e-02
-1.23804e+00  1.39526e-01
-1.25195e+00  1.67114e-01
-1.25366e+00  1.08643e-01
-1.25952e+00  1.50024e-01
-1.23975e+00  6.43311e-02
-1.18774e+00  7.20215e-02
-1.22656e+00  4.82178e-02
-1.20972e+00  -1.55029e-02
-1.22241e+00  -4.10156e-02
-1.22461e+00  -7.81250e-03
-1.20117e+00  3.55225e-02
-1.17236e+00  5.82275e-02
-1.19629e+00  -1.81885e-02
-1.20020e+00  -3.14941e-02
-1.19995e+00  -8.42285e-02
-1.22998e+00  -1.27930e-01
-1.21973e+00  -1.35620e-01
-1.19849e+00  -4.41895e-02
-1.18530e+00  -4.67529e-02
-1.21680e+00  -3.32031e-02
-1.18579e+00  -1.58691e-03
-1.19507e+00  2.19727e-02
-1.17896e+00  7.25098e-02
-1.21680e+00  1.87256e-01
-1.19385e+00  1.79321e-01
-1.16968e+00  1.47095e-01
-1.20703e+00  1.91162e-01
-1.17285e+00  2.28149e-01
-1.19629e+00  1.33301e-01
-1.19189e+00  1.57837e-01
-1.24438e+00  1.81885e-01
-1.20532e+00  1.62598e-01
-1.16431e+00  1.68213e-01
-1.17456e+00  1.29028e-01
-1.21387e+00  1.41357e-01
-1.16650e+00  -2.53906e-02
-1.21167e+00  6.28662e-02
-1.19971e+00  -1.19629e-02
-1.19922e+00  2.68555e-02
-1.18848e+00  4.95605e-02
-1.16504e+00  -4.26025e-02
-1.22168e+00  -5.33447e-02
-1.20654e+00  -3.97949e-02
-1.18530e+00  -4.71191e-02
-1.20776e+00  -4.83398e-02
-1.21899e+00  3.05176e-02
-1.18848e+00  4.83398e-02
-1.21948e+00  3.11279e-02
-1.26099e+00  -6.59180e-03
-1.19238e+00  -7.45850e-02
-1.23462e+00  -6.45752e-02
-1.20508e+00  -1.10840e-01
-1.18115e+00  -1.33789e-01
-1.24609e+00  -1.93604e-01
-1.20337e+00  -1.98364e-01
-1.21558e+00  -1.29272e-01
-1.19897e+00  -9.80225e-02
-1.17261e+00  -2.74658e-02
-1.20459e+00  -1.09985e-01
-1.20386e+00  -8.22754e-02
-1.21729e+00  2.31934e-03
-1.19800e+00  9.41162e-02
-1.22974e+00  1.29517e-01
-1.20972e+00  5.51758e-02
-1.21851e+00  -3.57666e-02
-1.25488e+00  5.11475e-02
-1.24268e+00  1.09131e-01
-1.22656e+00  1.13159e-01
-1.22070e+00  9.53369e-02
-1.22437e+00  8.53271e-02
-1.21753e+00  4.44336e-02
-1.20801e+00  2.06299e-02
-1.17334e+00  3.88184e-02
-1.23926e+00  3.99170e-02
-1.20483e+00  -1.07422e-02
-1.22852e+00  2.46582e-02
-1.21606e+00  3.45459e-02
-1.20654e+00  -1.90430e-02
-1.22900e+00  1.25732e-02
-1.19067e+00  -3.66211e-03
-1.19116e+00  1.75781e-02
-1.20337e+00  7.62939e-02
-1.17114e+00  3.73535e-02
-1.18091e+00  -1.51367e-02
-1.26465e+00  2.84424e-02
-1.21045e+00  4.02832e-02
-1.19702e+00  5.90820e-02
-1.20337e+00  5.02930e-02
-1.21460e+00  -1.86768e-02
-1.21826e+00  7.20215e-03
-1.20923e+00  1.94092e-02
-1.18848e+00  4.77295e-02
-1.20972e+00  7.81250e-03
-1.18286e+00  7.20215e-03
-1.21289e+00  -4.57764e-02
-1.21558e+00  -8.44727e-02
-1.19775e+00  -1.42822e-01
-1.21558e+00  -1.21216e-01
-1.17603e+00  -1.39282e-01
-1.23242e+00  -1.12305e-02
-1.19263e+00  -3.39355e-02
-1.19800e+00  -1.14746e-01
-1.22778e+00  -1.69434e-01
-1.21387e+00  -1.72607e-01
-1.17896e+00  -1.36841e-01
-1.20166e+00  -1.45386e-01
-1.20215e+00  -8.93555e-02
-1.23755e+00  -5.23682e-02
-1.22461e+00  1.83105e-02
-1.20337e+00  -7.93457e-02
-1.22583e+00  -7.42188e-02
-1.19800e+00  -1.47705e-01
-1.21387e+00  -1.24390e-01
-1.22192e+00  -4.40674e-02
-1.23853e+00  -8.08105e-02
-1.20776e+00  -6.57959e-02
-1.17725e+00  -1.18408e-02
-1.23950e+00  1.57471e-02
-1.21777e+00  2.58789e-02
-1.20898e+00  -7.87354e-02
-1.16016e+00  -6.72607e-02
-1.20435e+00  -7.98340e-02
-1.19922e+00  -1.14380e-01
-1.22168e+00  -1.56616e-01
-1.21948e+00  -1.93604e-01
-1.20923e+00  -1.22070e-01
-1.18872e+00  -1.14014e-01
-1.18311e+00  -1.14502e-01
-1.22510e+00  -8.89893e-02
-1.18408e+00  -1.07544e-01
-1.19556e+00  -1.06323e-01
-1.21582e+00  -2.04712e-01
-1.20117e+00  -1.81641e-01
-1.19751e+00  -1.57715e-01
-1.20020e+00  -1.01807e-01
-1.21289e+00  -1.58691e-01
-1.20288e+00  -1.87378e-01
-1.23608e+00  -2.22534e-01
