T=2.40000e+00  B=0.00000e+00  ns=40000  E_exact=-1.20397e+00  M_exact=0.00000e+00
     E           M        
--------------------------
-1.22620e+00  1.06700e-01
-1.25200e+00  1.00950e-01
-1.23930e+00  1.05050e-01
-1.22000e+00  1.20800e-01
-1.23200e+00  1.42700e-01
-1.22740e+00  1.30050e-01
-1.23720e+00  1.50250e-01
-1.23580e+00  1.70200e-01
-1.24190e+00  1.85050e-01
-1.21480e+00  1.77850e-01
-1.21510e+00  1.28850e-01
-1.21620e+00  1.49000e-01
-1.22470e+00  1.19150e-01
-1.21480e+00  1.55600e-01
-1.22270e+00  1.75100e-01
-1.22870e+00  1.72300e-01
-1.24520e+00  1.85350e-01
-1.24270e+00  2.14900e-01
-1.23920e+00  2.06250e-01
-1.22840e+00  1.98100e-01
-1.24920e+00  2.07500e-01
-1.23270e+00  2.12500e-01
-1.24620e+00  2.07450e-01
-1.22880e+00  2.09450e-01
-1.22720e+00  1.48850e-01
-1.23280e+00  1.51550e-01
-1.24180e+00  1.34650e-01
-1.22710e+00  1.52400e-01
-1.22100e+00  1.55050e-01
-1.24470e+00  1.87600e-01
-1.23420e+00  1.77050e-01
-1.23380e+00  1.78800e-01
-1.24260e+00  1.71550e-01
-1.22100e+00  1.36450e-01
-1.22980e+00  1.22450e-01
-1.23840e+00  1.55150e-01
-1.25100e+00  1.34300e-01
-1.24030e+00  1.38050e-01
-1.23380e+00  1.12250e-01
-1.22650e+00  1.20800e-01
-1.24580e+00  8.45500e-02
-1.24090e+00  1.09300e-01
-1.23570e+00  1.29900e-01
-1.23750e+00  1.31700e-01
-1.23650e+00  1.04200e-01
-1.22430e+00  1.17500e-01
-1.23210e+00  6.03000e-02
-1.21650e+00  4.70500e-02
-1.23160e+00  7.65000e-02
-1.23900e+00  1.10600e-01
-1.23820e+00  1.05050e-01
-1.22420e+00  9.27000e-02
-1.22560e+00  7.53000e-02
-1.23120e+00  5.26000e-02
-1.22660e+00  3.22000e-02
-1.22980e+00  4.84000e-02
-1.24970e+00  7.86000e-02
-1.24700e+00  1.05750e-01
-1.21660e+00  1.55800e-01
-1.22370e+00  1.55150e-01
-1.24440e+00  1.65550e-01
-1.22400e+00  9.29000e-02
-1.23540e+00  7.80500e-02
-1.20660e+00  5.25500e-02
-1.23540e+00  1.00700e-01
-1.23810e+00  1.02300e-01
-1.22860e+00  7.56500e-02
-1.24080e+00  6.63000e-02
-1.22520e+00  7.87500e-02
-1.23260e+00  7.61500e-02
-1.22390e+00  8.42000e-02
-1.23860e+00  7.96000e-02
-1.20660e+00  9.80000e-02
-1.20030e+00  1.03200e-01
-1.23350e+00  1.11950e-01
-1.24460e+00  1.30250e-01
-1.24110e+00  1.55100e-01
-1.25120e+00  1.79250e-01
-1.22860e+00  1.70250e-01
-1.24950e+00  1.22600e-01
-1.22120e+00  1.16700e-01
-1.21400e+00  1.05700e-01
-1.24200e+00  1.23650e-01
-1.23190e+00  1.00000e-01
-1.22130e+00  6.06000e-02
-1.22360e+00  6.92500e-02
-1.22340e+00  1.28700e-01
-1.24190e+00  1.55500e-01
-1.23090e+00  1.37250e-01
-1.26550e+00  1.35800e-01
-1.25460e+00  8.61500e-02
-1.22560e+00  1.23600e-01
-1.23910e+00  1.67000e-01
-1.25120e+00  1.69400e-01
-1.25690e+00  1.66300e-01
-1.24150e+00  1.14650e-01
-1.22560e+00  1.16100e-01
-1.20800e+00  8.85500e-02
-1.21610e+00  6.58500e-02
-1.23210e+00  1.16750e-01
-1.24070e+00  1.40400e-01
-1.24540e+00  1.50400e-01
-1.25320e+00  1.06000e-01
-1.23390e+00  1.03750e-01
-1.23010e+00  1.27850e-01
-1.24060e+00  1.57500e-01
-1.24150e+00  1.38950e-01
-1.22120e+00  7.56500e-02
-1.21350e+00  8.16500e-02
-1.21910e+00  1.09450e-01
-1.22800e+00  1.19100e-01
-1.21070e+00  1.49400e-01
-1.21750e+00  1.62950e-01
-1.20740e+00  1.21600e-01
-1.23020e+00  1.15200e-01
-1.25010e+00  1.18750e-01
-1.22440e+00  1.48700e-01
-1.20950e+00  1.01200e-01
-1.22440e+00  1.71000e-01
-1.23650e+00  1.56550e-01
-1.21690e+00  1.61100e-01
-1.21730e+00  1.50700e-01
-1.24040e+00  1.30100e-01
-1.21800e+00  1.44600e-01
-1.22730e+00  1.31900e-01
-1.22340e+00  1.00450e-01
-1.20600e+00  9.09000e-02
-1.22580e+00  1.15700e-01
-1.23490e+00  1.65550e-01
-1.21850e+00  1.53850e-01
-1.22940e+00  1.45650e-01
-1.23550e+00  1.13600e-01
-1.22720e+00  1.18150e-01
-1.22900e+00  1.43500e-01
-1.22600e+00  1.55500e-01
-1.24390e+00  1.47750e-01
-1.24250e+00  1.58000e-01
-1.24390e+00  1.67750e-01
-1.22800e+00  1.68500e-01
-1.21690e+00  1.72300e-01
-1.22240e+00  1.41900e-01
-1.23160e+00  1.50300e-01
-1.25580e+00  1.77600e-01
-1.26240e+00  1.28750e-01
-1.22310e+00  1.39500e-01
-1.21640e+00  1.10750e-01
-1.24330e+00  7.60500e-02
-1.21490e+00  4.36000e-02
-1.23250e+00  3.47500e-02
-1.23660e+00  4.16500e-02
-1.21780e+00  1.13800e-01
-1.23570e+00  1.21650e-01
-1.23950e+00  1.40900e-01
-1.24670e+00  1.46050e-01
-1.24790e+00  1.25250e-01
-1.24040e+00  9.96500e-02
-1.24030e+00  7.39000e-02
-1.22060e+00  3.63000e-02
-1.21740e+00  4.85000e-02
-1.24450e+00  7.63000e-02
-1.26810e+00  5.05500e-02
-1.22110e+00  8.12500e-02
-1.22260e+00  1.36500e-02
-1.22870e+00  2.08000e-02
-1.22870e+00  3.39500e-02
-1.23890e+00  1.87500e-02
-1.22880e+00  3.30000e-02
-1.24030e+00  7.25500e-02
-1.22880e+00  5.99500e-02
-1.22390e+00  8.16000e-02
-1.22700e+00  1.10700e-01
-1.23750e+00  1.01050e-01
-1.23160e+00  7.39500e-02
-1.23510e+00  6.73000e-02
-1.20100e+00  1.16750e-01
-1.23390e+00  1.22150e-01
-1.24000e+00  1.58350e-01
-1.22330e+00  1.53550e-01
-1.22780e+00  1.69250e-01
-1.21450e+00  1.24700e-01
-1.22260e+00  1.47900e-01
-1.20640e+00  1.25850e-01
-1.23820e+00  8.95500e-02
-1.22950e+00  1.02850e-01
-1.22220e+00  1.43700e-01
-1.22560e+00  1.37900e-01
-1.22910e+00  1.94800e-01
-1.22330e+00  1.33000e-01
-1.22300e+00  1.53800e-01
-1.21440e+00  1.39000e-01
-1.23990e+00  1.50200e-01
-1.23470e+00  1.57500e-01
-1.23650e+00  1.67450e-01
-1.22010e+00  1.95400e-01
-1.22820e+00  1.97000e-01
-1.22880e+00  1.57150e-01
-1.22690e+00  1.34800e-01
-1.22420e+00  1.06650e-01
-1.23180e+00  1.27550e-01
-1.21460e+00  1.31800e-01
-1.24850e+00  1.38300e-01
-1.22470e+00  1.14100e-01
-1.23350e+00  1.52550e-01
-1.24840e+00  1.36750e-01
-1.25190e+00  8.78500e-02
-1.24740e+00  1.07100e-01
-1.25130e+00  8.94000e-02
-1.25740e+00  7.37500e-02
-1.25100e+00  2.37000e-02
-1.23570e+00  4.99500e-02
-1.25370e+00  3.95000e-03
-1.23340e+00  4.09000e-02
-1.24370e+00  -4.00000e-04
-1.24130e+00  -3.50000e-03
-1.22170e+00  -4.75000e-03
-1.22230e+00  6.75000e-03
-1.24030e+00  7.50000e-03
-1.24760e+00  3.87500e-02
-1.22610e+00  5.96500e-02
-1.23130e+00  6.37000e-02
-1.23320e+00  4.09000e-02
-1.23250e+00  7.69000e-02
-1.22930e+00  5.51500e-02
-1.22710e+00  4.16500e-02
-1.24770e+00  1.18200e-01
-1.23440e+00  1.26150e-01
-1.23160e+00  1.22250e-01
-1.23710e+00  1.09700e-01
-1.21860e+00  9.47500e-02
-1.22930e+00  9.28000e-02
-1.22690e+00  1.20050e-01
-1.25300e+00  1.53350e-01
-1.22210e+00  1.51300e-01
-1.23510e+00  1.25150e-01
-1.23510e+00  9.85500e-02
-1.22400e+00  9.39500e-02
-1.23260e+00  7.90000e-02
-1.22050e+00  1.09850e-01
-1.21270e+00  1.11500e-01
-1.22670e+00  7.96500e-02
-1.23360e+00  9.61500e-02
-1.21720e+00  1.17750e-01
-1.23380e+00  1.18250e-01
-1.23110e+00  1.81100e-01
-1.22960e+00  1.53600e-01
-1.24020e+00  1.44900e-01
-1.21790e+00  1.53000e-01
-1.25890e+00  1.92950e-01
-1.23150e+00  1.94200e-01
-1.25300e+00  2.51150e-01
-1.25550e+00  2.22550e-01
-1.22900e+00  1.83250e-01
-1.23560e+00  1.75750e-01
-1.21820e+00  1.34650e-01
-1.23570e+00  6.61000e-02
-1.21290e+00  6.26000e-02
-1.20670e+00  1.01600e-01
-1.22670e+00  8.38000e-02
-1.22410e+00  7.98500e-02
-1.25290e+00  1.02800e-01
-1.21540e+00  1.09250e-01
-1.21240e+00  1.28650e-01
-1.22530e+00  1.46450e-01
-1.23080e+00  1.13700e-01
-1.25690e+00  1.15650e-01
-1.25280e+00  6.96000e-02
-1.23320e+00  6.16500e-02
-1.23530e+00  6.19000e-02
-1.21810e+00  3.06500e-02
-1.22660e+00  6.62500e-02
-1.25680e+00  1.37000e-01
-1.24160e+00  1.05650e-01
-1.23180e+00  1.39400e-01
-1.23910e+00  1.32100e-01
-1.22990e+00  1.52300e-01
-1.23690e+00  1.78150e-01
-1.23000e+00  1.35500e-01
-1.22960e+00  1.43050e-01
-1.22740e+00  1.44100e-01
-1.24480e+00  1.70150e-01
-1.25820e+00  1.49200e-01
-1.22850e+00  1.41650e-01
-1.24050e+00  7.62500e-02
-1.22500e+00  8.90500e-02
-1.24900e+00  6.84500e-02
-1.23090e+00  1.12750e-01
-1.23260e+00  1.03050e-01
-1.21990e+00  1.22350e-01
-1.21810e+00  1.36050e-01
-1.23060e+00  1.02450e-01
-1.24190e+00  6.65500e-02
-1.24480e+00  6.33500e-02
-1.22630e+00  9.13500e-02
-1.22540e+00  6.95500e-02
-1.24440e+00  5.14000e-02
-1.23360e+00  9.46500e-02
-1.22000e+00  6.29000e-02
-1.24080e+00  7.36000e-02
-1.23730e+00  6.48000e-02
-1.21740e+00  4.97500e-02
-1.20220e+00  5.00500e-02
