T=2.50000e+00  B=0.00000e+00  ns=16384  E_exact=-1.10608e+00  M_exact=0.00000e+00
     E           M        
--------------------------
-1.17456e+00  2.07520e-02
-1.10010e+00  4.15039e-03
-1.08276e+00  -8.91113e-03
-1.12061e+00  -2.96631e-02
-1.11792e+00  2.35596e-02
-1.13965e+00  1.86768e-02
-1.13403e+00  -5.73730e-03
-1.10083e+00  -9.39941e-02
-1.12451e+00  -1.11816e-01
-1.11279e+00  -7.01904e-02
-1.09863e+00  -8.98438e-02
-1.09082e+00  -5.21240e-02
-1.09790e+00  -6.20117e-02
-1.11548e+00  -5.78613e-02
-1.12695e+00  -3.88184e-02
-1.12671e+00  -4.57764e-02
-1.08740e+00  6.95801e-03
-1.11646e+00  -3.33252e-02
-1.09888e+00  -2.61230e-02
-1.11523e+00  5.79834e-02
-1.11475e+00  5.61523e-03
-1.14648e+00  6.83594e-02
-1.08374e+00  -1.83105e-02
-1.11035e+00  -3.96729e-02
-1.10376e+00  -1.80664e-02
-1.15186e+00  -8.70361e-02
-1.12329e+00  -7.38525e-02
-1.09448e+00  -8.55713e-02
-1.11304e+00  -6.55518e-02
-1.12915e+00  -3.12500e-02
-1.10449e+00  -2.14844e-02
-1.09766e+00  1.74561e-02
-1.11475e+00  4.54102e-02
-1.10767e+00  4.23584e-02
-1.13330e+00  5.96924e-02
-1.11401e+00  2.63672e-02
-1.11743e+00  8.47168e-02
-1.10571e+00  6.93359e-02
-1.10059e+00  -1.33057e-02
-1.09985e+00  -4.26025e-02
-1.09033e+00  -8.10547e-02
-1.11572e+00  2.68555e-03
-1.10669e+00  5.85938e-02
-1.08521e+00  5.17578e-02
-1.08398e+00  4.84619e-02
-1.11719e+00  1.01074e-01
-1.09692e+00  2.97852e-02
-1.08276e+00  1.08643e-02
-1.08887e+00  3.12500e-02
-1.09448e+00  -4.99268e-02
-1.15063e+00  -1.22070e-03
-1.09277e+00  -3.62549e-02
-1.11621e+00  -1.83105e-02
-1.09058e+00  -4.52881e-02
-1.11133e+00  -6.65283e-02
-1.08350e+00  -2.13623e-02
-1.10522e+00  -3.00293e-02
-1.10742e+00  -6.10352e-04
-1.11279e+00  4.21143e-02
-1.09668e+00  4.40674e-02
-1.09790e+00  5.96924e-02
-1.08911e+00  1.24878e-01
-1.09033e+00  9.02100e-02
-1.08545e+00  2.74658e-02
-1.09595e+00  -3.12500e-02
-1.08105e+00  -3.83301e-02
-1.12720e+00  -1.14746e-02
-1.09985e+00  1.83105e-03
-1.13428e+00  1.50146e-02
-1.09448e+00  -4.72412e-02
-1.12769e+00  -9.19189e-02
-1.09985e+00  -5.04150e-02
-1.11450e+00  9.03320e-03
-1.10571e+00  1.73340e-02
-1.08008e+00  4.27246e-02
-1.12012e+00  -8.53271e-02
-1.14404e+00  -3.91846e-02
-1.09839e+00  3.61328e-02
-1.08960e+00  1.03516e-01
-1.12402e+00  5.55420e-02
-1.09985e+00  7.97119e-02
-1.15308e+00  1.87988e-02
-1.12134e+00  4.73633e-02
-1.11792e+00  4.55322e-02
-1.14233e+00  7.04346e-02
-1.09888e+00  5.85938e-03
-1.11548e+00  3.78418e-03
-1.10596e+00  -2.97852e-02
-1.11597e+00  -4.00391e-02
-1.07935e+00  4.04053e-02
-1.08740e+00  2.56348e-02
-1.07520e+00  3.07617e-02
-1.10229e+00  4.61426e-02
-1.10620e+00  2.19727e-02
-1.11865e+00  -8.91113e-03
-1.09790e+00  9.50928e-02
-1.09399e+00  3.14941e-02
-1.10156e+00  -5.73730e-03
-1.10596e+00  6.01807e-02
-1.12891e+00  -6.22559e-03
-1.10815e+00  -4.95605e-02
-1.08911e+00  -6.22559e-02
-1.10083e+00  -4.21143e-02
-1.10498e+00  -4.26025e-02
-1.11646e+00  -1.03760e-02
-1.10571e+00  -2.61230e-02
-1.10254e+00  -4.88281e-03
-1.10596e+00  -1.72119e-02
-1.12329e+00  2.31934e-03
-1.08057e+00  -6.55518e-02
-1.09644e+00  -2.73438e-02
-1.10596e+00  -6.20117e-02
-1.07544e+00  1.20850e-02
-1.13989e+00  1.56250e-02
-1.11304e+00  5.33447e-02
-1.09961e+00  1.83105e-03
-1.07495e+00  1.22070e-02
-1.12402e+00  1.50391e-01
-1.09546e+00  1.42822e-01
-1.10913e+00  8.54492e-02
-1.12012e+00  9.81445e-02
-1.12646e+00  6.40869e-02
-1.12622e+00  2.72217e-02
-1.13013e+00  3.91846e-02
-1.10376e+00  -7.20215e-03
-1.13062e+00  -8.50830e-02
-1.13330e+00  -1.68457e-02
-1.08325e+00  -2.56348e-03
-1.11084e+00  -2.51465e-02
-1.12256e+00  -9.41162e-02
-1.08936e+00  -9.74121e-02
-1.12549e+00  -1.60767e-01
-1.09863e+00  -1.07422e-01
-1.09814e+00  -7.16553e-02
-1.13672e+00  -4.41895e-02
-1.10474e+00  4.19922e-02
-1.06934e+00  -4.78516e-02
-1.10449e+00  -9.36279e-02
-1.09717e+00  -1.31592e-01
-1.11572e+00  -8.87451e-02
-1.10864e+00  -6.61621e-02
-1.11304e+00  -2.44141e-03
-1.11401e+00  -2.19727e-03
-1.09082e+00  -3.68652e-02
-1.10889e+00  -8.03223e-02
-1.09863e+00  -5.01709e-02
-1.09473e+00  -6.06689e-02
-1.07642e+00  4.27246e-03
-1.09985e+00  -3.60107e-02
-1.12280e+00  -8.54492e-03
-1.13501e+00  -8.50830e-02
-1.12476e+00  -5.92041e-02
-1.09619e+00  3.84521e-02
-1.11694e+00  7.64160e-02
-1.09839e+00  3.55225e-02
-1.09814e+00  2.94189e-02
-1.10791e+00  -4.41895e-02
-1.11011e+00  6.22559e-03
-1.06396e+00  5.95703e-02
-1.10522e+00  7.66602e-02
-1.08276e+00  9.86328e-02
-1.12476e+00  1.17798e-01
-1.14014e+00  7.08008e-02
-1.11353e+00  8.94775e-02
-1.08838e+00  3.08838e-02
-1.08545e+00  -1.40381e-02
-1.09277e+00  -2.39258e-02
-1.13818e+00  -1.22070e-02
-1.11621e+00  7.65381e-02
-1.12671e+00  8.77686e-02
-1.10864e+00  8.11768e-02
-1.08862e+00  7.08008e-02
-1.10181e+00  3.55225e-02
-1.11719e+00  9.76562e-04
-1.08032e+00  -3.13721e-02
-1.09277e+00  -8.66699e-02
-1.10791e+00  -5.85938e-02
-1.08643e+00  -4.76074e-03
-1.09595e+00  -2.22168e-02
-1.12964e+00  -4.18701e-02
-1.08032e+00  -1.59912e-02
-1.08862e+00  4.46777e-02
-1.08179e+00  3.60107e-02
-1.13745e+00  -1.62354e-02
-1.11108e+00  1.15723e-01
-1.12231e+00  4.62646e-02
-1.11938e+00  7.05566e-02
-1.11206e+00  3.00293e-02
-1.08154e+00  -4.98047e-02
-1.10376e+00  -7.95898e-02
-1.09375e+00  -4.88281e-02
-1.11719e+00  -1.00098e-01
-1.08447e+00  -5.16357e-02
-1.11255e+00  -4.78516e-02
-1.13892e+00  -3.97949e-02
-1.11279e+00  9.88770e-03
-1.09351e+00  -3.88184e-02
-1.07666e+00  -7.77588e-02
-1.11157e+00  -5.88379e-02
-1.10522e+00  -9.64355e-02
-1.10425e+00  -1.55640e-01
-1.15918e+00  -1.38184e-01
-1.09473e+00  -1.06079e-01
-1.10181e+00  3.51562e-02
-1.08032e+00  5.27344e-02
-1.12524e+00  8.69141e-02
-1.06348e+00  6.23779e-02
-1.12231e+00  1.20850e-02
-1.07739e+00  1.17188e-02
-1.12231e+00  8.16650e-02
-1.13745e+00  1.26465e-01
-1.08521e+00  9.31396e-02
-1.10840e+00  6.93359e-02
-1.08472e+00  8.27637e-02
-1.10254e+00  8.70361e-02
-1.12354e+00  8.59375e-02
-1.09351e+00  6.76270e-02
-1.07251e+00  5.70068e-02
-1.09473e+00  4.83398e-02
-1.12085e+00  5.73730e-02
-1.11572e+00  -2.51465e-02
-1.09229e+00  3.41797e-02
-1.11719e+00  6.37207e-02
-1.09326e+00  7.12891e-02
-1.07520e+00  -1.19629e-02
-1.10205e+00  1.75781e-02
-1.08472e+00  2.80762e-03
-1.11890e+00  3.67432e-02
-1.10474e+00  -2.89307e-02
-1.11450e+00  -2.62451e-02
-1.11133e+00  -3.83301e-02
-1.09888e+00  3.05176e-03
-1.09741e+00  3.73535e-02
-1.10718e+00  7.93457e-02
