T=2.20000e+00  B=0.00000e+00  ns=16384  E_exact=-1.54649e+00  M_exact=7.84755e-01
     E           M        
--------------------------
-1.58325e+00  8.18604e-01
-1.56494e+00  7.93091e-01
-1.53979e+00  7.73315e-01
-1.55981e+00  7.88452e-01
-1.54639e+00  7.99805e-01
-1.58105e+00  8.18604e-01
-1.55640e+00  8.11157e-01
-1.53003e+00  7.89795e-01
-1.55933e+00  7.98828e-01
-1.55029e+00  7.77710e-01
-1.56299e+00  8.11279e-01
-1.56348e+00  7.94434e-01
-1.54541e+00  8.00781e-01
-1.56470e+00  7.86865e-01
-1.56885e+00  7.99072e-01
-1.56494e+00  7.96509e-01
-1.54517e+00  7.95776e-01
-1.55713e+00  8.02490e-01
-1.56128e+00  8.20801e-01
-1.55737e+00  8.18359e-01
-1.53687e+00  7.96021e-01
-1.57104e+00  8.05420e-01
-1.53296e+00  8.02979e-01
-1.55029e+00  7.84058e-01
-1.56543e+00  8.23975e-01
-1.59717e+00  8.23608e-01
-1.55371e+00  8.04810e-01
-1.53442e+00  7.95288e-01
-1.55029e+00  7.89551e-01
-1.55713e+00  8.03955e-01
-1.53613e+00  7.86133e-01
-1.56201e+00  8.15430e-01
-1.54370e+00  7.91748e-01
-1.53149e+00  7.80884e-01
-1.55127e+00  7.85278e-01
-1.54297e+00  7.81494e-01
-1.55640e+00  7.73315e-01
-1.54053e+00  7.86987e-01
-1.54834e+00  7.79053e-01
-1.54028e+00  7.78076e-01
-1.55933e+00  7.91138e-01
-1.51392e+00  7.46582e-01
-1.55200e+00  7.82227e-01
-1.49243e+00  7.37915e-01
-1.54077e+00  7.84668e-01
-1.52954e+00  7.69775e-01
-1.53125e+00  7.69287e-01
-1.55127e+00  7.95288e-01
-1.54395e+00  7.89673e-01
-1.51929e+00  7.60864e-01
-1.53174e+00  7.63428e-01
-1.52612e+00  7.68677e-01
-1.57129e+00  8.15308e-01
-1.51074e+00  7.61475e-01
-1.57300e+00  8.18726e-01
-1.52319e+00  7.63550e-01
-1.57471e+00  8.23242e-01
-1.57715e+00  8.23853e-01
-1.54639e+00  7.86743e-01
-1.53174e+00  7.91504e-01
-1.55371e+00  8.06396e-01
-1.52417e+00  7.86011e-01
-1.51025e+00  7.68066e-01
-1.52173e+00  7.74292e-01
-1.57959e+00  8.10913e-01
-1.55762e+00  8.10547e-01
-1.56885e+00  8.02368e-01
-1.53003e+00  7.73560e-01
-1.53369e+00  7.71973e-01
-1.58643e+00  8.16650e-01
-1.58081e+00  8.10303e-01
-1.51636e+00  7.71484e-01
-1.54102e+00  7.75757e-01
-1.56226e+00  8.10669e-01
-1.54639e+00  8.12134e-01
-1.53687e+00  7.89307e-01
-1.56909e+00  8.03589e-01
-1.57471e+00  8.17627e-01
-1.55640e+00  7.93213e-01
-1.54834e+00  7.83447e-01
-1.51196e+00  7.40479e-01
-1.55786e+00  7.74780e-01
-1.56958e+00  7.97363e-01
-1.56934e+00  8.00049e-01
-1.55249e+00  7.80518e-01
-1.54102e+00  7.78076e-01
-1.55029e+00  7.86011e-01
-1.56958e+00  8.07739e-01
-1.55103e+00  7.97485e-01
-1.54565e+00  8.12134e-01
-1.57471e+00  8.05298e-01
-1.53735e+00  7.64282e-01
-1.57056e+00  7.95166e-01
-1.55200e+00  7.86499e-01
-1.55396e+00  7.87109e-01
-1.54834e+00  7.87109e-01
-1.52710e+00  7.89551e-01
-1.55444e+00  7.89062e-01
-1.52661e+00  7.60010e-01
-1.55225e+00  7.66113e-01
-1.55347e+00  7.72095e-01
-1.52246e+00  7.48657e-01
-1.49780e+00  7.28271e-01
-1.55566e+00  7.85645e-01
-1.56592e+00  8.02856e-01
-1.53149e+00  7.88818e-01
-1.55859e+00  7.90649e-01
-1.54810e+00  7.95410e-01
-1.55103e+00  8.12378e-01
-1.51221e+00  7.81372e-01
-1.54736e+00  8.00415e-01
-1.54541e+00  7.88818e-01
-1.51416e+00  7.55493e-01
-1.56226e+00  7.67212e-01
-1.57471e+00  7.96265e-01
-1.52417e+00  7.55005e-01
-1.51270e+00  7.54150e-01
-1.53589e+00  7.64771e-01
-1.53833e+00  7.63184e-01
-1.55469e+00  8.04077e-01
-1.54663e+00  7.80640e-01
-1.53540e+00  7.77100e-01
-1.57178e+00  7.88574e-01
-1.56714e+00  7.83813e-01
-1.53003e+00  7.61353e-01
-1.54517e+00  7.78442e-01
-1.52808e+00  7.52197e-01
-1.55518e+00  7.88208e-01
-1.51123e+00  7.55737e-01
-1.55078e+00  7.74048e-01
-1.53809e+00  7.66602e-01
-1.54248e+00  7.81128e-01
-1.56030e+00  8.01270e-01
-1.52563e+00  7.93091e-01
-1.55908e+00  7.95776e-01
-1.53223e+00  7.91504e-01
-1.51123e+00  7.68066e-01
-1.57056e+00  7.99561e-01
-1.53345e+00  7.91504e-01
-1.54321e+00  7.81494e-01
-1.54395e+00  7.86621e-01
-1.52588e+00  7.73071e-01
-1.54761e+00  7.99316e-01
-1.55396e+00  8.08105e-01
-1.55859e+00  7.92603e-01
-1.54199e+00  7.97241e-01
-1.58984e+00  8.28979e-01
-1.56519e+00  8.09204e-01
-1.56470e+00  8.11401e-01
-1.57568e+00  8.26416e-01
-1.57935e+00  8.31787e-01
-1.56372e+00  8.09937e-01
-1.54297e+00  7.96631e-01
-1.57593e+00  8.07129e-01
-1.55200e+00  7.96753e-01
-1.51978e+00  7.78320e-01
-1.53467e+00  7.68311e-01
-1.56982e+00  7.98340e-01
-1.53467e+00  7.75757e-01
-1.52246e+00  7.77344e-01
-1.54028e+00  8.01880e-01
-1.57520e+00  8.28613e-01
-1.56470e+00  7.86377e-01
-1.50806e+00  7.49512e-01
-1.52051e+00  7.59644e-01
-1.52075e+00  7.65259e-01
-1.52563e+00  7.65625e-01
-1.56079e+00  7.91992e-01
-1.57861e+00  7.86743e-01
-1.56030e+00  7.91992e-01
-1.54028e+00  7.82471e-01
-1.58154e+00  8.19336e-01
-1.55273e+00  7.94312e-01
-1.56860e+00  8.04688e-01
-1.55835e+00  7.93457e-01
-1.50366e+00  7.60498e-01
-1.54468e+00  7.73438e-01
-1.52173e+00  7.51831e-01
-1.55591e+00  7.86499e-01
-1.56543e+00  8.03467e-01
-1.49683e+00  7.49268e-01
-1.56689e+00  7.96143e-01
-1.53711e+00  8.01514e-01
-1.53760e+00  7.79297e-01
-1.57886e+00  8.15186e-01
-1.58521e+00  8.22144e-01
-1.56250e+00  8.03711e-01
-1.54028e+00  7.60254e-01
-1.54053e+00  7.71118e-01
-1.50049e+00  7.34985e-01
-1.50928e+00  7.34985e-01
-1.56958e+00  7.89185e-01
-1.55737e+00  7.93091e-01
-1.55762e+00  7.96387e-01
-1.56299e+00  8.09570e-01
-1.54565e+00  7.92114e-01
-1.57617e+00  8.09570e-01
-1.57349e+00  8.12378e-01
-1.56934e+00  8.22021e-01
-1.57007e+00  8.13354e-01
-1.54956e+00  7.94312e-01
-1.56445e+00  7.84546e-01
-1.55493e+00  8.06763e-01
-1.56641e+00  7.90771e-01
-1.52856e+00  7.92358e-01
-1.57202e+00  8.15308e-01
-1.53491e+00  7.84302e-01
-1.52002e+00  7.53784e-01
-1.53394e+00  7.63062e-01
-1.55566e+00  7.99194e-01
-1.53296e+00  7.60498e-01
-1.51123e+00  7.51099e-01
-1.53198e+00  7.38647e-01
-1.50146e+00  6.97388e-01
-1.50146e+00  7.14722e-01
-1.51489e+00  7.40967e-01
-1.51514e+00  7.46216e-01
